 	on	a	pris	le	voleur	en	flagrant	délit	</S>
á	0.700558	0.245615	0.0222625	0.0147876	0.00736161	0.00478946	0.00349174	0.000854844	0.000279005
p	0.05509	0.331431	0.301794	0.230664	0.0417833	0.0201064	0.00963984	0.00894258	0.000548532
i	0.0248019	0.0778558	0.411522	0.308705	0.0328179	0.0277816	0.0720698	0.0113993	0.033046
i	0.0163843	0.0818901	0.562996	0.224204	0.0390401	0.0212075	0.0439258	0.00202484	0.00832769
m	0.173666	0.0940876	0.16201	0.432622	0.0625432	0.0258865	0.00550854	0.00667655	0.0369993
ú	0.00226747	0.00461866	0.0149513	0.24466	0.653532	0.0151474	0.000352339	0.00294163	0.0615293
b	0.00341292	0.00479296	0.0378558	0.636346	0.126083	0.125292	0.0094034	0.0110114	0.0458032
h	0.134307	0.0377847	0.0612664	0.163937	0.0275683	0.086264	0.0798159	0.293534	0.115523
u	0.046805	0.0128089	0.0372187	0.41932	0.0838135	0.0882464	0.107612	0.0759382	0.128237
m	0.00152224	0.00113096	0.0272247	0.192952	0.0207994	0.376291	0.171095	0.137142	0.0718421
b	0.00663459	0.0018129	0.017649	0.183141	0.108157	0.312827	0.0921696	0.0512991	0.22631
v	0.0042498	0.00152398	0.0139867	0.237504	0.0274189	0.152881	0.0976433	0.292329	0.172464
ε	0.0032782	0.00142175	0.0129584	0.0958085	0.00462741	0.0768019	0.0395925	0.549489	0.216022
</S>	0.00159582	0.00116488	0.0128821	0.0351171	0.00121603	0.0529882	0.0263813	0.394096	0.474559
