 	il	marchait	sur	le	bord	de	la	rivière	</S>
w	0.986957	0.00565946	0.00256722	0.00285252	0.000317322	0.000537079	0.000959136	0.000127059	2.34838e-05
a	0.955575	0.00308354	0.0209887	0.0116635	0.000175065	0.00180256	0.00581543	0.000859479	3.66638e-05
á	0.576573	0.281043	0.0841219	0.020911	0.00234501	0.0109687	0.0121444	0.00175431	0.0101384
d	0.0836405	0.444067	0.246814	0.0387544	0.0154681	0.0566153	0.0657913	0.00813963	0.0407101
z	0.00256287	0.903385	0.0703767	0.00438922	0.000234433	0.00178573	0.00175353	0.000333516	0.0151789
a	0.0354431	0.950237	0.0102311	0.00156314	0.000142622	0.000280904	0.000206568	0.000197698	0.00169795
l	0.00381998	0.451468	0.209481	0.0297526	0.00853744	0.0245688	0.0191582	0.00596207	0.247253
á	0.0416845	0.0777668	0.392881	0.108013	0.0396489	0.0691347	0.0304243	0.0102162	0.230231
a	0.0702653	0.157334	0.289112	0.213491	0.129967	0.0371534	0.0210085	0.0228961	0.0587724
b	0.00337179	0.148432	0.365255	0.166695	0.206636	0.013297	0.0122149	0.0580457	0.0260512
h	0.00792319	0.0438039	0.223599	0.2149	0.356296	0.0483413	0.0108279	0.0484782	0.0458307
é	0.000882844	0.0323049	0.155065	0.198256	0.453771	0.0449572	0.0136541	0.0410677	0.0600415
m	0.000802559	0.00241979	0.157979	0.181745	0.326666	0.0984457	0.0326235	0.0356403	0.163678
b	0.00981192	0.000205237	0.225085	0.503444	0.0511544	0.0999477	0.0283372	0.0175677	0.0644468
á	0.0096855	0.000384755	0.147149	0.333376	0.131157	0.126258	0.0466711	0.0247756	0.180543
m	0.00418616	0.000113338	0.0675923	0.148281	0.0561059	0.412048	0.182149	0.0743407	0.0551837
ó	0.024175	0.000389919	0.0506834	0.114911	0.0167778	0.127471	0.164978	0.12213	0.378485
p	0.00409786	0.000434599	0.0193441	0.0390143	0.00944307	0.036608	0.122698	0.751817	0.0165431
ε	0.000269462	0.00124349	0.00259988	0.00970332	0.0985432	0.0160675	0.0360443	0.808408	0.0271207
l	0.00102899	0.000964898	0.00580014	0.0225257	0.0758979	0.0731465	0.0659534	0.599055	0.155628
έ	0.000237502	0.00112906	0.010001	0.0357187	0.0567767	0.109074	0.143945	0.472165	0.170954
m	0.00177423	6.65388e-05	0.0253599	0.0286552	0.00819041	0.166284	0.36631	0.170253	0.233106
á	0.0461157	0.000779237	0.069869	0.0587359	0.00643222	0.0482276	0.200462	0.282244	0.287134
o	0.00318229	0.000776	0.0516049	0.0500104	0.00504844	0.0470542	0.264764	0.445081	0.132479
k	0.00035329	0.00370092	0.0807204	0.0200908	0.00751566	0.028922	0.20286	0.533296	0.12254
y	2.99293e-05	0.00485884	0.0138283	0.0202009	0.0410043	0.0251415	0.0909931	0.651975	0.151968
ε	0.000281858	0.00211353	0.00603233	0.0108122	0.0180915	0.0140827	0.0452576	0.820888	0.0824401
s	0.000296946	3.40962e-05	0.00596179	0.0107539	0.00693713	0.0546196	0.0968439	0.339141	0.485411
í	0.000485107	0.000352246	0.00282397	0.0172959	0.0336156	0.0742742	0.055672	0.364727	0.450754
</S>	0.00267104	0.000132867	0.0222349	0.0204417	0.00483772	0.0579689	0.146037	0.101693	0.643983
