 	il	n'	y	a	pas	de	riches	dans	notre	village	</S>
p	0.276474	0.0552793	0.0750434	0.0472692	0.0328836	0.0748539	0.0737543	0.33522	0.0192836	0.00848283	0.00145611
o	0.0191459	0.0240657	0.0124135	0.00872462	0.0179855	0.0112295	0.00824793	0.0619606	0.00409855	0.829851	0.00227694
o	0.0393904	0.0707806	0.0323996	0.0091154	0.0116396	0.0147366	0.0352273	0.0194863	0.00126133	0.566145	0.199818
y	0.0639071	0.0712312	0.26421	0.14199	0.0456831	0.0443391	0.133497	0.0858145	0.0667459	0.0162422	0.0663395
á	0.0659805	0.113626	0.0888719	0.0689894	0.0454222	0.0413888	0.123962	0.164043	0.113442	0.0689117	0.105362
b	0.0440444	0.0174727	0.0771109	0.0582039	0.0303206	0.0384899	0.0851495	0.0866811	0.494298	0.0365666	0.0316626
í	0.0134875	0.00195616	0.00606503	0.00557654	0.000791244	0.000741	0.000511487	0.0112994	0.950247	0.00788164	0.00144297
s	0.0157479	0.00472306	0.00959234	0.0094528	0.00181435	0.00119255	0.00155292	0.0133944	0.828252	0.109842	0.0044356
í	0.039466	0.0315691	0.074131	0.0583479	0.0317802	0.015206	0.0409574	0.0665288	0.458483	0.0908184	0.0927124
é	0.00454894	0.023469	0.113279	0.146978	0.140528	0.122119	0.0436131	0.0830992	0.0809726	0.030093	0.2113
d	0.00617606	0.0689073	0.0938296	0.143396	0.106909	0.0612016	0.0284426	0.0907343	0.0363771	0.147981	0.216045
í	0.000440563	0.00601486	0.00729158	0.0361003	0.0567708	0.0314323	0.0150559	0.0577814	0.0294784	0.0135538	0.74608
i	0.00172616	0.00733482	0.0372043	0.0948745	0.16442	0.137345	0.0237641	0.0638998	0.060201	0.00782848	0.401402
b	0.00311986	0.00582207	0.0105287	0.0219408	0.0394739	0.0783983	0.0500824	0.0566179	0.118937	0.0703822	0.544697
y	0.00769522	0.0152447	0.0304949	0.0525303	0.0465845	0.0543539	0.00615714	0.118324	0.145983	0.186051	0.336581
á	0.00453359	0.016768	0.0362474	0.0423487	0.063809	0.0491343	0.0140949	0.0978122	0.259252	0.219824	0.196175
á	0.000486974	0.00170647	0.00498162	0.00908485	0.0162055	0.0188332	0.00904257	0.0483369	0.116038	0.0886018	0.686682
l	0.00425125	0.0107434	0.0234641	0.0459924	0.0269216	0.0351602	0.0169258	0.0926827	0.181578	0.00891756	0.553363
i	0.0045865	0.0118254	0.0202722	0.0314139	0.027621	0.0295635	0.0347483	0.077893	0.164984	0.034571	0.562521
k	0.00281474	0.00140541	0.00899816	0.0121626	0.0128865	0.037639	0.0258022	0.0784613	0.425995	0.0284689	0.365366
a	0.00379167	0.0106377	0.0309177	0.0399509	0.0526047	0.0365705	0.00418323	0.075328	0.148655	0.411593	0.185767
á	0.000114434	0.000807423	0.00255047	0.00242526	0.00569755	0.00535962	0.00139732	0.0120827	0.0410063	0.140368	0.78819
</S>	0.0122267	0.0189647	0.0370224	0.0532937	0.023057	0.0205492	0.00952877	0.0541996	0.234756	0.011675	0.524727
