 	la	mère	donne	à	manger	à	son	bébé	</S>
n	0.902086	0.0218486	0.0250198	0.0122439	0.00975472	0.0170345	0.00787602	0.00244728	0.00168963
g	0.3482	0.649935	0.000332247	0.000608226	0.000226242	0.000203418	0.000425518	6.2208e-05	7.45698e-06
ó	0.021464	0.976936	0.000222348	0.000257493	0.00012995	8.40803e-05	0.000129449	0.000763113	1.3438e-05
o	0.0318235	0.958237	0.00095569	0.00145585	0.00121193	0.000189472	0.000269136	0.00432984	0.00152743
l	0.273326	0.0776485	0.422267	0.157327	0.00817011	0.0115855	0.019842	0.00683459	0.0229991
á	0.115939	0.0480761	0.181509	0.072322	0.0179358	0.0553148	0.0412371	0.032259	0.435408
a	0.420467	0.00313005	0.268729	0.230019	0.0188654	0.0111804	0.0225694	0.00825879	0.016781
d	0.0170253	0.00524996	0.645607	0.221849	0.0757884	0.0125647	0.00176661	0.00281095	0.0173387
z	0.00228995	0.000528293	0.308692	0.518059	0.106646	0.019083	0.00497435	0.00427678	0.0354509
é	0.0342587	0.000433322	0.145206	0.496623	0.284026	0.0160962	0.00464195	0.00701771	0.0116981
s	0.00583819	3.37857e-05	0.30604	0.440371	0.0954136	0.0484608	0.0158827	0.00133191	0.0866282
á	0.0123993	2.11511e-05	0.199004	0.475224	0.067491	0.106409	0.054894	0.0136847	0.0708726
m	0.0474187	0.000318518	0.0437005	0.471098	0.201238	0.0548391	0.148495	0.0268156	0.00607653
w	0.00375321	3.78502e-05	0.0181276	0.161081	0.589248	0.0612149	0.0140609	0.109619	0.0428584
á	0.0563305	7.08753e-05	0.0145332	0.0728923	0.254666	0.0584985	0.00884323	0.519541	0.0146243
n	0.255142	4.73144e-05	0.0121323	0.135942	0.0779047	0.0594945	0.128689	0.272676	0.0579727
a	0.0267646	0.00364286	0.0401989	0.248848	0.267274	0.0460663	0.0630863	0.131645	0.172474
</S>	0.0145708	0.000422855	0.0936605	0.209762	0.137415	0.310442	0.185804	0.021201	0.0267212
