 	sous	cette	pluie	personne	n'	ose	descendre	en	aval	du	fleuve	</S>
l	0.33838	0.382243	0.0768055	0.0792796	0.0134179	0.0324133	0.0432478	0.0116538	0.00709402	0.0148457	0.000225284	0.000394314
a	0.201423	0.484878	0.20999	0.0554907	0.0181877	0.0033374	0.00701228	0.00466784	0.00274	0.00866211	0.00281713	0.000793343
m	0.562113	0.349298	0.0395662	0.0033363	0.00352128	0.0034505	0.00571084	0.00360182	0.00349527	0.0063986	0.0120016	0.00750596
b	0.0757386	0.370091	0.48484	0.026872	0.00455751	0.000124283	0.00161659	0.0059402	0.00235411	0.000909173	0.00874004	0.0182171
v	0.0118386	0.0587938	0.913487	0.00735012	0.00194546	0.000742551	0.00159194	0.001238	0.000325459	0.000152205	0.000818822	0.00171565
ú	0.0429304	0.243389	0.583525	0.0265504	0.00962323	0.00849564	0.00924263	0.00783616	0.00357484	0.00464949	0.0182509	0.0419323
á	0.083151	0.0870876	0.42676	0.223046	0.0717901	0.0285746	0.0356311	0.0104439	0.00347115	0.00472301	0.00409921	0.0212225
b	0.0826617	0.110508	0.138456	0.317188	0.177963	0.0601455	0.0353474	0.0237527	0.0126948	0.0141401	0.00362304	0.0235201
ó	0.130696	0.0319407	0.0510846	0.120971	0.0659544	0.118433	0.13854	0.114483	0.0793184	0.0501764	0.0330909	0.0653122
o	0.0520734	0.06406	0.12194	0.237756	0.214469	0.0741488	0.0997481	0.0602875	0.0197496	0.0237798	0.00483831	0.0271493
k	0.00835151	0.00313328	0.0205375	0.0724247	0.45972	0.18901	0.145607	0.0605199	0.0199778	0.00329479	0.00224134	0.0151821
y	0.000468418	8.15062e-05	0.00111414	0.00571889	0.0304159	0.847186	0.0946606	0.0129836	0.00416863	0.000392321	0.000444208	0.00236597
ε	0.00307698	0.000547374	0.00350743	0.00975476	0.0395041	0.788436	0.128112	0.0148497	0.00635177	0.00145084	0.000649219	0.00375925
l	0.00209169	0.00127811	0.0160701	0.0415295	0.111265	0.39638	0.330169	0.0527433	0.0143919	0.0129849	0.00301284	0.0180842
i	0.00248037	0.00105222	0.00612615	0.0270122	0.0605346	0.405826	0.342773	0.0748269	0.0364909	0.0246626	0.00534693	0.0128679
m	0.00425145	0.0057096	0.0140318	0.0148344	0.0478889	0.0458654	0.309811	0.372381	0.09551	0.0663355	0.0104469	0.0129335
á	0.0237042	0.0206088	0.017383	0.00377798	0.00780792	0.00217443	0.0425094	0.204321	0.0644726	0.0866078	0.208736	0.317897
l	0.00817253	0.00456981	0.00696877	0.00365428	0.00728625	0.00509565	0.224232	0.356062	0.190494	0.0694737	0.11369	0.0103016
á	0.00660839	0.00348988	0.00810478	0.00244759	0.00704908	0.00264844	0.0276332	0.191251	0.262249	0.199239	0.119214	0.170066
t	0.00580772	0.00182238	0.00148892	0.00127948	0.00353313	0.00140458	0.0459375	0.162082	0.261803	0.265388	0.1936	0.0558535
s	0.00715098	0.00201989	0.0025001	0.00884826	0.0103613	0.00803069	0.171991	0.191905	0.316112	0.0761575	0.170093	0.0348313
ε	0.00197544	0.000207476	0.000231816	0.000491059	0.0021231	0.0617152	0.115976	0.0691813	0.332338	0.114998	0.244039	0.0567238
a	0.00264077	0.00051947	0.000739998	0.00100045	0.0060084	0.0103793	0.0488118	0.0964253	0.202604	0.235911	0.217717	0.177243
d	0.00139798	0.000839159	0.00300873	0.00269502	0.00587157	0.000356673	0.00622094	0.0660397	0.20393	0.33317	0.115694	0.260776
í	0.00248648	0.000726983	0.000749236	0.000204303	0.00148208	0.000117125	0.00068286	0.0117964	0.0773994	0.0869981	0.0746318	0.742725
k	0.0090935	0.00359335	0.0016543	0.00105057	0.00338075	0.000338936	0.00234207	0.0208161	0.120903	0.207346	0.0807997	0.548682
a	0.00146153	0.000698081	0.00111916	0.00318445	0.00541108	0.0102358	0.0195448	0.0337035	0.37079	0.107131	0.209727	0.236993
á	0.000233653	6.19939e-05	8.68595e-05	0.000572501	0.00130058	0.00266244	0.00821729	0.0163205	0.0976528	0.0324107	0.0617116	0.778769
</S>	0.000983435	0.000401061	0.00148816	0.00348458	0.0057248	0.000387047	0.00144884	0.0133342	0.0515644	0.0721277	0.0728675	0.776188
