 	ils	vont	arracher	le	manioc	</S>
b	0.705474	0.268889	0.00985305	0.0155486	0.000115198	0.000120443
á	0.78375	0.0736454	0.0965281	0.0444715	0.000318951	0.00128644
a	0.912684	0.067876	0.0176911	0.00141134	7.9158e-05	0.000258099
b	0.140305	0.288574	0.36711	0.0616443	0.0126166	0.12975
í	0.368371	0.20996	0.224978	0.17167	0.00467533	0.0203451
l	0.173537	0.133645	0.465151	0.136702	0.0194064	0.0715591
á	0.0851794	0.453059	0.226455	0.107735	0.00145129	0.12612
i	0.00537925	0.0674571	0.308294	0.523268	0.00275687	0.092845
k	0.00112733	0.0124414	0.0687832	0.192061	0.658756	0.066831
ώ	1.90066e-05	0.00106764	0.00270749	0.00455007	0.985162	0.00649354
ώ	0.000737382	0.00856205	0.0364819	0.0552534	0.855985	0.0429799
</S>	0.00103667	0.00836738	0.0231539	0.25808	0.0621276	0.647235
