 	les	fils	de	raphia	se	sont	défaits	</S>
n	0.850947	0.114506	0.0189709	0.00859106	0.00504944	0.00163496	9.7306e-05	0.000203311
z	0.828967	0.0666732	0.0157313	0.0798005	0.00811227	0.000602948	5.03086e-05	6.21342e-05
í	0.140184	0.194217	0.104731	0.47604	0.0632464	0.0137476	0.00421559	0.00361888
m	0.25102	0.323551	0.186691	0.123552	0.0581814	0.015825	0.0125585	0.0286211
b	0.355411	0.491726	0.0771009	0.0242545	0.0380977	0.0070805	0.000306903	0.00602256
á	0.266281	0.34674	0.218149	0.0575763	0.0530643	0.0100772	0.00544427	0.0426682
y	0.16364	0.0991143	0.44742	0.0758194	0.0887787	0.0372537	0.00813624	0.0798368
ó	0.352353	0.0586738	0.179261	0.16977	0.13789	0.0330622	0.00238573	0.0666046
k	0.105846	0.058362	0.426613	0.124828	0.179823	0.0263106	0.00569189	0.0725258
w	0.319116	0.0376141	0.307702	0.0693255	0.112801	0.0472064	0.04912	0.0571148
á	0.0785615	0.0301596	0.346581	0.341615	0.141088	0.0225986	0.0093267	0.0300698
á	0.0545023	0.0547707	0.48385	0.24965	0.117858	0.00803591	0.00437621	0.0269572
s	0.00479378	0.00908732	0.160932	0.30392	0.308694	0.183677	0.00995434	0.0189424
á	0.012671	0.00253859	0.107115	0.39294	0.231465	0.190465	0.00518822	0.0576173
r	0.027481	0.00426649	0.0844005	0.478096	0.292776	0.0903057	0.00574277	0.0169313
e	0.0218195	0.00894317	0.0749598	0.706497	0.146418	0.0305136	0.00139231	0.0094564
é	0.00416901	0.00163185	0.168116	0.296408	0.290423	0.185209	0.00809101	0.0459525
m	0.00717556	0.000285066	0.0204082	0.0478349	0.0799214	0.487475	0.301987	0.0549132
i	0.00438344	0.00339224	0.0203192	0.027871	0.0681664	0.197252	0.44747	0.231146
p	0.00138232	0.000602148	0.00344414	0.00409778	0.00986688	0.173221	0.681218	0.126168
f	8.09814e-06	5.13332e-05	0.000903154	0.000514124	0.00116701	0.0145585	0.919869	0.0629286
ú	0.000223439	0.000124875	0.00208322	0.00183415	0.00365577	0.0199811	0.841227	0.130871
s	0.00293225	0.000813532	0.005676	0.00539375	0.0153241	0.00991804	0.610904	0.349039
a	0.00609524	0.000273129	0.0251124	0.0381165	0.0528675	0.0293051	0.245679	0.602551
a	0.0013894	0.000366386	0.0153025	0.0630348	0.0876751	0.0794572	0.0603703	0.692404
</S>	0.0252441	0.00307142	0.0490262	0.0952635	0.0841633	0.176178	0.215422	0.351631
