 	s'	il	décide	de	t'	assassiner	il	ne	reculera	pas	</S>
w	0.919681	0.0725016	0.00199717	0.00313361	0.000662595	0.000711888	0.000669854	0.000321732	0.000243881	5.74106e-05	1.96445e-05
á	0.956459	0.0319568	0.00131386	0.00592352	0.00257059	0.000394485	0.000276949	0.000147182	0.000767535	0.000184741	5.25933e-06
á	0.244674	0.634335	0.0193761	0.0208024	0.0167199	0.00842457	0.0196432	0.00579862	0.00193786	0.00205151	0.0262369
w	0.224372	0.402119	0.156547	0.0399128	0.0573355	0.00578302	0.0161001	0.0182969	0.016842	0.00898763	0.0537041
a	0.0741346	0.33618	0.120889	0.20721	0.134944	0.0138194	0.0371731	0.0157325	0.00554265	0.00507393	0.0493008
a	0.0750524	0.313179	0.275853	0.179945	0.0279553	0.00986006	0.0221734	0.00850781	0.00525295	0.00770949	0.0745124
k	0.0112743	0.0750665	0.789741	0.0598805	0.0227701	0.00831741	0.00403801	0.00777273	0.0062611	0.00366616	0.0112124
á	0.0058453	0.10093	0.657133	0.131643	0.0394657	0.0275626	0.00750266	0.0100307	0.00161317	0.00251655	0.0157582
n	0.0157594	0.207225	0.436716	0.0893153	0.0399447	0.029057	0.0154579	0.012927	0.00361977	0.0078897	0.142089
y	0.0257083	0.0302392	0.636394	0.200696	0.0805368	0.00473803	0.00475428	0.00166672	0.000757089	0.00166616	0.0128432
í	0.0197905	0.0707908	0.596934	0.109864	0.088808	0.0447076	0.0112852	0.00438445	0.00129754	0.00466122	0.0474757
m	0.0354908	0.0381893	0.144469	0.558075	0.109617	0.0531724	0.0186725	0.00998299	0.00501489	0.0043967	0.0229196
í	0.0369609	0.0159528	0.0360499	0.352088	0.397208	0.122412	0.0255504	0.00287494	0.000305053	0.000693008	0.00990436
k	0.0101531	0.00903919	0.0565348	0.240489	0.391695	0.201968	0.0354423	0.0127848	0.00738301	0.0112734	0.023237
w	0.000326932	0.00162111	0.0185812	0.0176113	0.0522339	0.88733	0.0061412	0.00492253	0.000607952	0.00186901	0.00875452
ε	0.0018435	0.00280031	0.0726729	0.0764058	0.073317	0.711204	0.0323862	0.00907653	0.00209717	0.00322179	0.0149745
r	0.000292482	0.00140812	0.0368322	0.115515	0.122592	0.560388	0.0403012	0.0174204	0.00309112	0.00994947	0.0922099
ε	0.000690391	0.00349342	0.116746	0.0557777	0.0576169	0.523778	0.063214	0.0212133	0.00431227	0.0251041	0.128054
ε	0.00874277	0.00175469	0.0214072	0.271025	0.200995	0.263998	0.143816	0.0175722	0.00738445	0.00588821	0.0574173
l	0.0174439	0.00709699	0.0282734	0.0536087	0.104784	0.30594	0.273282	0.12648	0.0349504	0.0209055	0.0272358
á	0.00495646	0.00683845	0.0362788	0.0514228	0.0946428	0.0916573	0.125534	0.228406	0.11513	0.0664988	0.178634
n	0.00372395	0.00352205	0.0268303	0.191363	0.172807	0.0306595	0.223465	0.0781512	0.114179	0.0652257	0.0900726
ω	0.00298853	0.000632437	0.0413305	0.113544	0.680853	0.00894069	0.0507625	0.0169453	0.0381523	0.0250159	0.0208345
w	0.00228017	0.00185445	0.0146561	0.0687271	0.366469	0.186162	0.145209	0.0476395	0.0750654	0.022944	0.0689933
a	0.0115796	0.0120281	0.00451602	0.0398988	0.0309719	0.461771	0.208594	0.111761	0.0411105	0.0481499	0.0296183
a	0.00329486	0.000768759	0.00190881	0.0210098	0.0194893	0.0427626	0.355175	0.240768	0.104772	0.0576934	0.152359
d	0.00132939	0.00154359	0.00947651	0.0142739	0.0458858	0.005089	0.158054	0.334986	0.257375	0.0544457	0.117541
í	0.000366899	0.00035972	0.00299213	0.00403	0.00712502	0.000655059	0.0236125	0.144741	0.42161	0.0565179	0.33799
o	0.000420725	0.000111122	0.00137497	0.00581732	0.00739658	0.00117519	0.0569636	0.236043	0.398904	0.113614	0.178179
s	0.000130299	0.00123158	0.0109796	0.00438853	0.00829463	0.0132816	0.0185782	0.256185	0.390131	0.18747	0.10933
i	4.74945e-05	0.000219017	0.00479981	0.00255571	0.00341524	0.000422431	0.00111729	0.0331523	0.858088	0.0542512	0.0419316
s	4.39861e-05	8.95889e-05	0.00111982	0.00301436	0.00288293	0.00119653	0.00852882	0.0697352	0.649124	0.0747921	0.189472
a	3.91942e-05	6.22516e-05	0.00246511	0.00157022	0.00272124	0.00460609	0.0244759	0.127468	0.324052	0.242481	0.270058
k	8.01999e-05	6.21168e-05	0.000940569	0.00401658	0.00277418	0.00132748	0.0369737	0.0983667	0.152985	0.164966	0.537508
a	0.000108756	0.000162298	0.00213321	0.00246164	0.0041178	0.010536	0.0395935	0.191414	0.223181	0.233776	0.292516
á	0.00030888	0.000672468	0.00111146	0.00235873	0.00379747	0.00588909	0.0492334	0.0960038	0.0488695	0.0701309	0.721624
</S>	0.000887621	0.00074642	0.00266522	0.0089437	0.0161999	0.0040069	0.0565107	0.0668502	0.110551	0.192215	0.540423
