 	il	est	brûlant	de	fièvre	</S>
w	0.740987	0.0776513	0.0499119	0.127974	0.00335641	0.000119071
a	0.668728	0.0699919	0.0315491	0.206453	0.0216124	0.0016655
n	0.296287	0.389481	0.242842	0.0527758	0.00728921	0.0113252
d	0.0375676	0.0451226	0.029289	0.00977443	0.0521214	0.826125
z	0.0672573	0.112334	0.705827	0.00936648	0.0164505	0.0887647
ó	0.0334896	0.0649154	0.66495	0.0438996	0.0434459	0.1493
r	0.122152	0.0968949	0.370421	0.216627	0.0968228	0.0970813
o	0.0429661	0.0692919	0.639434	0.148754	0.0138109	0.0857434
y	0.108931	0.180981	0.051881	0.53931	0.0875277	0.0313694
é	0.144764	0.191498	0.132795	0.411824	0.0790239	0.0400937
e	0.0347141	0.0297682	0.0697089	0.303707	0.476008	0.0860942
t	0.0251096	0.124885	0.0687052	0.115811	0.435845	0.229645
ú	0.00508689	0.0888896	0.533626	0.15052	0.0772826	0.144596
ú	0.000654587	0.0155644	0.766795	0.127475	0.00692294	0.0825886
m	0.000966775	0.0222746	0.0820209	0.489273	0.0719879	0.333477
b	0.00275048	0.00736057	0.0137597	0.294465	0.418656	0.263008
á	0.00542499	0.0154024	0.0546558	0.48095	0.267094	0.176473
m	0.00443358	0.00749713	0.019928	0.166101	0.234271	0.567769
í	0.00113576	0.0065301	0.000972143	0.0269142	0.568538	0.395909
á	0.00311404	0.00595665	0.00137795	0.0500494	0.595493	0.344009
</S>	0.0119305	0.0293372	0.00835689	0.0353734	0.120302	0.7947
