 	tu	as	fait	une	bonne	action	</S>
n	0.922743	0.0693233	0.00258023	0.00147885	0.00341798	0.000318431	0.00013793
ω	0.803988	0.185895	0.00322838	0.00510739	0.00124112	0.000366131	0.000173696
ó	0.473173	0.420063	0.0737307	0.0236983	0.00211518	0.000406956	0.00681298
k	0.00110981	0.0745854	0.814592	0.0685101	0.0102223	0.0107456	0.0202353
y	0.000365716	0.00982195	0.522661	0.210136	0.0978832	0.0513769	0.107755
é	0.00113561	0.044149	0.57342	0.285166	0.0795242	0.00724934	0.0093554
i	0.0101235	0.091761	0.175766	0.294983	0.272479	0.100652	0.0542362
b	0.00163108	0.0369805	0.0494426	0.253921	0.352927	0.224879	0.0802188
h	0.00109346	0.0197463	0.0376475	0.111418	0.268176	0.530849	0.0310703
ώ	0.000983274	0.00955345	0.068974	0.309135	0.408682	0.148389	0.0542835
ω	0.000127031	0.0171609	0.0201445	0.09119	0.488267	0.231438	0.151672
i	1.13902e-05	0.000527631	0.00433911	0.089514	0.557485	0.307023	0.0411002
b	7.52885e-06	0.00134454	0.0139801	0.0812021	0.194349	0.412747	0.296369
v	1.13659e-05	0.000334241	0.0019907	0.0130211	0.166636	0.804061	0.013946
έ	0.000159325	0.00312413	0.0183301	0.101099	0.267353	0.534843	0.0750923
</S>	1.21872e-05	0.000439935	0.00145637	0.0239485	0.0484639	0.06204	0.863639
