 	mes	beaux-parents	et	moi	nous	sommes	séparés	hier	sans	se	dire	au	revoir	</S>
b	0.599463	0.281121	0.0417968	0.014564	0.0110428	0.0150052	0.00312951	0.00599032	0.0129707	0.0102211	0.000804886	0.00352847	0.000141069	0.000220999
í	0.0965127	0.553102	0.0327942	0.0236159	0.219992	0.0114344	0.00814415	0.00250659	0.0132486	0.00889659	0.00125938	0.0165056	0.0104984	0.0014892
s	0.155591	0.407734	0.0196575	0.0153491	0.279066	0.018251	0.0126057	0.00740564	0.0233908	0.027761	0.00608684	0.0050023	0.00633648	0.0157622
í	0.77851	0.0276714	0.00682393	0.0234281	0.0650494	0.0289711	0.0345123	0.000436094	0.0107958	0.00551998	0.00265859	0.00548139	0.00766023	0.00248186
l	0.166177	0.314015	0.0502979	0.0362416	0.0655579	0.0236285	0.0225088	0.016791	0.0696058	0.0534799	0.0279978	0.0452796	0.0136162	0.0948034
a	0.0607273	0.0222776	0.053865	0.136703	0.134666	0.0405193	0.15685	0.00550892	0.096172	0.039788	0.0378251	0.016218	0.0269167	0.171963
b	0.185674	0.402913	0.0516043	0.0749906	0.0291882	0.0289076	0.0442809	0.00164791	0.0291168	0.0270364	0.0547413	0.0213231	0.0223993	0.0261766
v	0.0268417	0.750006	0.0746735	0.00476155	0.0640058	0.0254519	0.00507041	0.00281147	0.0165411	0.0174784	0.00353251	0.00528914	0.00121798	0.00231862
u	0.0391915	0.32178	0.16731	0.0145752	0.222583	0.0865329	0.00924159	0.0017769	0.0563847	0.0352036	0.00904582	0.0220321	0.00215881	0.0121833
ε	0.0785216	0.177057	0.278543	0.114409	0.0879151	0.0775014	0.0538367	0.0207443	0.0278893	0.0204366	0.0131474	0.0140958	0.00414138	0.0317615
l	0.0146235	0.0184409	0.376908	0.205984	0.0824615	0.149446	0.0710005	0.0188485	0.0187117	0.0101346	0.00459303	0.0077053	0.0035206	0.0176206
é	0.017631	0.0224877	0.162312	0.0781134	0.0726614	0.158297	0.0958076	0.103545	0.0538039	0.0448783	0.0331468	0.0272459	0.0157743	0.114296
t	0.0131097	0.0090411	0.115229	0.101485	0.138304	0.208119	0.199103	0.066423	0.0437342	0.0228092	0.0168914	0.0164042	0.00972815	0.039618
s	0.00524417	0.0203635	0.0358026	0.0255532	0.0470023	0.152563	0.0998312	0.533697	0.0187523	0.0234658	0.0122923	0.00440471	0.00430679	0.0167207
a	0.00101008	0.0172653	0.0265369	0.00674105	0.0901191	0.262314	0.110747	0.309221	0.0463439	0.0636247	0.0230347	0.0203044	0.0062905	0.0164474
m	0.00702375	0.00744096	0.0614408	0.0547875	0.141962	0.145444	0.170011	0.185646	0.0443416	0.0299033	0.00662999	0.00616047	0.00544031	0.133769
i	0.0102	0.00687144	0.0643401	0.0925804	0.0851627	0.295776	0.194846	0.0199054	0.0909209	0.0388724	0.0181646	0.0343948	0.0160604	0.0319047
n	0.00208635	0.00272264	0.0218767	0.0226779	0.079549	0.0765938	0.110287	0.204281	0.232076	0.154282	0.0398403	0.0190305	0.0054559	0.0292404
i	0.013581	0.00182481	0.00908645	0.193209	0.0862044	0.0511425	0.504896	0.0107999	0.0417246	0.0137668	0.00704664	0.00628491	0.0254803	0.0349523
i	0.00074775	0.00068855	0.0221147	0.0792596	0.0481077	0.0884196	0.338736	0.112602	0.184753	0.0510251	0.044175	0.0103544	0.0047273	0.0142901
t	0.00149303	0.00808047	0.0141443	0.0087115	0.0222948	0.0182396	0.0263135	0.182033	0.138086	0.341558	0.178794	0.0269482	0.00970212	0.0235998
s	0.000250021	0.00213084	0.00420115	0.00387247	0.0189444	0.0251857	0.0344121	0.372679	0.0665132	0.224442	0.175765	0.0278733	0.0149078	0.028823
w	0.000210728	0.00227086	0.0063031	0.0065037	0.0459395	0.0600538	0.0777447	0.197525	0.0983768	0.2109	0.155971	0.0569006	0.0242699	0.0570303
é	0.00827343	0.00520114	0.0133226	0.0134881	0.0576248	0.0584505	0.0907859	0.0586285	0.141085	0.192177	0.0959964	0.0360093	0.0331656	0.195792
i	0.000784044	0.00128646	0.0058769	0.00643104	0.00853637	0.0268316	0.043177	0.0828514	0.109171	0.195835	0.264269	0.0719018	0.0146052	0.168443
t	0.000497028	0.00166523	0.0116711	0.0038541	0.0108394	0.0104503	0.0179228	0.0351473	0.0950971	0.206971	0.243747	0.190342	0.0299858	0.14181
s	0.000492282	0.00180786	0.0033936	0.00230341	0.00634699	0.0166544	0.0228044	0.266156	0.0524091	0.197865	0.214448	0.0781246	0.0523632	0.0848316
w	0.000177442	0.00177474	0.00190158	0.000882764	0.00823705	0.0133285	0.0171307	0.071257	0.0732305	0.242183	0.257117	0.174324	0.0624375	0.076019
é	0.0112294	0.00594776	0.0141146	0.0151737	0.0582516	0.0481408	0.0825351	0.0199434	0.131535	0.180778	0.176599	0.0764105	0.0587165	0.120625
l	0.000696222	0.000764573	0.00415863	0.00161916	0.00249908	0.00649456	0.0126531	0.0168132	0.0437061	0.0853792	0.13243	0.0752414	0.0262364	0.591308
a	0.00195428	0.000974537	0.00569034	0.0067764	0.00992192	0.00928208	0.0274158	0.0303186	0.0387457	0.0798618	0.0849097	0.107871	0.192587	0.403691
p	0.00125885	0.000408021	0.00309963	0.00335889	0.00564441	0.00842772	0.0148617	0.00821459	0.0272276	0.0353769	0.0592866	0.292632	0.356621	0.183583
ó	0.000706532	0.00332529	0.00413564	0.00188023	0.0103935	0.0110329	0.0103329	0.273175	0.0317495	0.124871	0.126215	0.123685	0.141208	0.13729
a	0.000416912	0.000427512	0.00085942	0.000696003	0.00154083	0.00472329	0.00772381	0.130261	0.0196315	0.0756321	0.269347	0.137374	0.0749242	0.276443
</S>	0.000393722	0.000900759	0.00644898	0.000710544	0.00464783	0.00648997	0.0051957	0.00702438	0.0200707	0.0365913	0.0655882	0.355398	0.119595	0.370944
