 	les	safous	sont	mûrs	</S>
s	0.702631	0.291618	0.00497735	7.78213e-06	0.000765747
á	0.0919068	0.894509	0.00468035	0.00016215	0.00874115
á	0.245894	0.699169	0.0327284	0.00751209	0.0146961
é	0.0428174	0.288712	0.616565	0.0295623	0.0223431
m	0.0192248	0.0403206	0.767871	0.147166	0.0254174
i	0.0670147	0.0336991	0.506697	0.23961	0.152979
b	0.00253367	0.000353844	0.0200065	0.949327	0.0277786
h	0.00332688	0.000288559	0.00922207	0.972203	0.0149597
í	0.00257371	0.000200602	0.0136671	0.95652	0.027039
n	0.0153697	0.000757564	0.0445361	0.684318	0.255019
d	0.0669899	0.0091872	0.0125352	0.252071	0.659217
a	0.0162992	0.00602996	0.0156189	0.157598	0.804454
</S>	0.0183535	0.0126355	0.152997	0.0108824	0.805132
