 	maintenant	il	gagne	sa	vie	sans	avoir	besoin	de	personne	</S>
p	0.655038	0.203804	0.071348	0.00893909	0.00223576	0.0421849	0.0123536	0.000579666	0.00333416	0.00014483	3.77221e-05
a	0.761882	0.0564089	0.0760244	0.021904	0.0130718	0.0370759	0.01338	0.00984864	0.00712174	0.00264196	0.000640524
r	0.253226	0.129474	0.233569	0.0617022	0.0469289	0.0884596	0.069158	0.0819961	0.00648575	0.0046362	0.0243647
á	0.411484	0.198642	0.126298	0.0501952	0.0290283	0.0717243	0.0177099	0.0234813	0.0135139	0.00310421	0.054819
a	0.499149	0.339157	0.110059	0.00840494	0.00250589	0.0077595	0.00969336	0.00400632	0.00423373	0.000930304	0.0141003
d	0.144243	0.193699	0.124748	0.0736442	0.0417039	0.0475844	0.12588	0.0755123	0.0596036	0.0117105	0.101671
í	0.0168533	0.0914856	0.0946319	0.120425	0.147992	0.0831965	0.0734238	0.0478457	0.0424266	0.0115675	0.270152
w	0.0220666	0.144391	0.366958	0.0974793	0.0232873	0.0527512	0.0663865	0.0361598	0.0600981	0.0123544	0.118068
a	0.0580822	0.161673	0.272922	0.15717	0.0246029	0.0732718	0.0845091	0.0324854	0.0570296	0.0226275	0.0556265
a	0.048801	0.173486	0.22465	0.171721	0.0285409	0.0571968	0.0613108	0.0342974	0.0607083	0.016067	0.123221
b	0.0178667	0.0424233	0.0529704	0.172705	0.0887634	0.0694906	0.192092	0.142262	0.0713855	0.0203864	0.129655
h	0.0220641	0.0210767	0.0389981	0.264257	0.0869191	0.277909	0.152953	0.0521563	0.0392372	0.0196144	0.0248142
i	0.0506225	0.054844	0.256158	0.167684	0.0315639	0.182058	0.0873959	0.0430979	0.0499462	0.0166589	0.0599701
l	0.00605353	0.0525181	0.306498	0.306102	0.0562752	0.0676751	0.0388993	0.0297058	0.0174606	0.00984929	0.108964
á	0.0111708	0.0169603	0.0376057	0.166205	0.0570208	0.0321977	0.0553826	0.0977764	0.0662432	0.0266941	0.432744
a	0.0200249	0.0790097	0.0465598	0.318678	0.171347	0.1372	0.0650546	0.0272584	0.0326874	0.0312492	0.0709314
k	0.00377565	0.0034192	0.005151	0.0976018	0.56666	0.0887375	0.0500039	0.139811	0.00834823	0.0188966	0.0175944
o	0.00278157	0.0013054	0.0266982	0.167501	0.162426	0.224958	0.0751194	0.216384	0.0190804	0.0401615	0.0635842
n	0.000558035	0.000549685	0.0146769	0.0599217	0.236902	0.326208	0.0658601	0.174615	0.0270867	0.0202765	0.0733451
d	0.00640387	0.0100026	0.0293916	0.133119	0.264084	0.160456	0.0517196	0.103654	0.0144923	0.0199863	0.206691
z	0.0164931	0.0644918	0.0704974	0.269444	0.173059	0.0798126	0.0172705	0.0369383	0.00795633	0.0218239	0.242214
á	0.031655	0.0709597	0.0515022	0.236082	0.159784	0.0890148	0.0171482	0.0506761	0.0154925	0.0494822	0.228203
b	0.0234538	0.057767	0.0417573	0.291926	0.0429664	0.332336	0.142942	0.0182925	0.0242829	0.00553067	0.0187455
e	0.0743096	0.0860901	0.0876279	0.261717	0.101665	0.202051	0.102776	0.0256798	0.00839045	0.0399774	0.00971508
a	0.0237668	0.0282446	0.0450788	0.106648	0.0605285	0.501589	0.153092	0.0263072	0.00892894	0.0277998	0.0180167
a	0.00196813	0.00615095	0.00716051	0.0399141	0.0299728	0.19077	0.592256	0.0583241	0.0492131	0.00421059	0.0200596
b	0.00373566	0.00286711	0.00618995	0.0272391	0.041094	0.0713313	0.326378	0.331224	0.0741883	0.0329268	0.0828255
h	0.00448351	0.00244236	0.00751326	0.0235653	0.0153776	0.148014	0.124104	0.232638	0.178767	0.125981	0.137114
i	0.00287667	0.00133922	0.0129892	0.0343611	0.0132495	0.187271	0.151194	0.207242	0.139283	0.0428009	0.207394
