 	monzo	peigne	ses	cheveux	</S>
m	0.969679	0.0236834	0.00321829	0.00338498	3.40412e-05
ω	0.84331	0.062314	0.0624802	0.00432437	0.027571
n	0.795956	0.196597	0.00092	0.000698912	0.0058276
d	0.782372	0.0819294	0.0927807	0.00559238	0.0373258
z	0.862066	0.074207	0.0130494	0.00646198	0.0442158
ω	0.801174	0.086914	0.0587157	0.00332767	0.0498689
l	0.202016	0.111841	0.565085	0.00654222	0.114515
á	0.0573597	0.0673307	0.595111	0.0237592	0.25644
a	0.0221899	0.0425776	0.708897	0.166717	0.0596179
s	0.0249355	0.330339	0.201781	0.313409	0.129535
w	0.00324409	0.276774	0.0468752	0.625231	0.0478756
a	0.0330167	0.150338	0.0909322	0.588427	0.137286
l	0.000619929	0.0104184	0.0739968	0.771094	0.143871
á	0.00316005	0.0110358	0.33852	0.364195	0.283089
s	0.00299656	0.00671885	0.206205	0.371011	0.413069
u	0.0015138	0.0110351	0.0866447	0.753619	0.147187
é	0.0108599	0.0047099	0.0563771	0.468983	0.45907
</S>	0.0469891	0.0439673	0.236192	0.131976	0.540875
