 	la	cour	de	l'	église	est	vaste	</S>
d	0.416856	0.35911	0.123219	0.0191012	0.0650337	0.00814316	0.00163673	0.00690006
z	0.135658	0.616058	0.062517	0.0315811	0.0163107	0.0121841	0.0458517	0.0798394
a	0.0468711	0.842281	0.0123123	0.00900157	0.0743873	0.00444296	0.00573577	0.0049681
n	0.0717857	0.500129	0.0862522	0.0312606	0.0273037	0.0330542	0.115045	0.13517
g	0.0870691	0.54996	0.17478	0.0549176	0.0393753	0.0207063	0.0132067	0.0599848
é	0.062948	0.825474	0.0591467	0.0148145	0.00828748	0.00154916	0.00723284	0.0205472
l	0.114522	0.0902135	0.664536	0.0774472	0.00741155	0.0239595	0.00133643	0.020574
á	0.181934	0.162183	0.275063	0.0992452	0.0591098	0.0604491	0.0145183	0.147497
n	0.3192	0.187105	0.204541	0.0849336	0.155411	0.0236059	0.00538422	0.0198193
d	0.035899	0.0864301	0.16148	0.0684038	0.589822	0.0174345	0.00563618	0.0348945
é	0.00588967	0.0959788	0.0874876	0.0671379	0.683761	0.00780471	0.0210591	0.0308808
e	0.0231059	0.0527342	0.313869	0.235689	0.240441	0.0625777	0.0295273	0.0420556
y	0.0291854	0.0138907	0.233389	0.390101	0.118053	0.187016	0.00516953	0.0231953
á	0.044387	0.0161641	0.169527	0.285501	0.329406	0.116775	0.0122963	0.0259437
n	0.0170522	0.019881	0.121939	0.388293	0.264099	0.142199	0.0250992	0.0214372
z	0.0031459	0.0144356	0.0206235	0.0850403	0.824569	0.0193041	0.0134906	0.0193909
a	0.00149361	0.0143217	0.0192419	0.0895103	0.758881	0.0271877	0.0431509	0.0462127
m	0.00277183	0.00812991	0.126258	0.200635	0.38867	0.173821	0.0431694	0.0565452
b	0.0265617	0.00418704	0.0488091	0.194695	0.216837	0.0993963	0.0644795	0.345034
e	0.0435564	0.0185489	0.0561376	0.241678	0.384857	0.037567	0.083217	0.134439
í	0.00394463	0.00179501	0.0514695	0.128818	0.0298511	0.630923	0.0591278	0.0940709
d	0.00528895	0.00153674	0.0208178	0.0494846	0.0113063	0.677791	0.107561	0.126213
í	0.00179291	0.000264311	0.00288563	0.0233236	0.0295764	0.429703	0.0606759	0.451778
n	0.00469829	0.000943052	0.00949535	0.0727743	0.024612	0.244252	0.343647	0.299578
y	0.00231857	0.00401954	0.00958046	0.0388253	0.0631751	0.175314	0.400787	0.305981
e	0.0014693	0.00301774	0.00325824	0.00898247	0.0267026	0.0686677	0.742001	0.145901
n	0.000127055	7.82248e-05	0.00170677	0.0027025	0.0026862	0.0847605	0.559308	0.34863
g	0.00031739	0.000498354	0.00450955	0.0174944	0.00599767	0.172573	0.38804	0.410569
e	0.000272	0.00137555	0.00751653	0.0371996	0.0138829	0.0806588	0.310891	0.548203
l	0.00117135	0.000715662	0.00441773	0.0142846	0.00318048	0.0726977	0.167194	0.736339
e	0.00231166	0.00422831	0.00939115	0.0305512	0.00802799	0.0740641	0.420865	0.450561
</S>	0.000289066	0.000116303	0.00212308	0.00462761	0.00109837	0.0998635	0.169067	0.722815
