 	il	a	atteint	la	bête	au	fusil	</S>
w	0.822919	0.100161	0.0338247	0.0186498	0.00788221	0.0135345	0.0024172	0.000611121
a	0.748055	0.0505514	0.0232682	0.0391466	0.015188	0.107891	0.0157478	0.000151697
á	0.106026	0.495154	0.277138	0.0716076	0.0141701	0.0260213	0.0023038	0.00757976
n	0.0370017	0.489175	0.304917	0.0841545	0.0228694	0.024786	0.00948966	0.0276073
ω	0.0175969	0.153256	0.530341	0.117262	0.0470364	0.0253021	0.00619981	0.103006
n	0.00518519	0.101829	0.486271	0.25743	0.0936983	0.028018	0.00409441	0.0234755
g	0.0345393	0.152285	0.538001	0.174013	0.0727196	0.0156129	0.00192292	0.0109055
i	0.0305263	0.0627087	0.563242	0.192804	0.0931658	0.0278079	0.0012849	0.0284609
s	0.0493157	0.0375684	0.138364	0.301539	0.163478	0.266383	0.0288331	0.014519
i	0.00482949	0.0446977	0.16729	0.261036	0.412325	0.0659315	0.00696775	0.0369232
n	0.0119151	0.0190739	0.0749694	0.205152	0.286389	0.299766	0.0733841	0.02935
y	0.00260001	0.00549208	0.0720116	0.143214	0.575311	0.146185	0.0375227	0.0176646
a	0.000297752	0.00213899	0.0641106	0.0608679	0.743285	0.0840093	0.0151564	0.0301339
m	0.000287545	0.00533365	0.0455181	0.12141	0.628605	0.101739	0.0107032	0.0864033
a	0.000672596	0.00191629	0.0105612	0.100329	0.520521	0.163185	0.0748917	0.127923
a	0.00187702	0.0110171	0.0470805	0.10635	0.108537	0.26409	0.101588	0.35946
t	0.00424881	0.0454832	0.0591944	0.0890002	0.0912064	0.319329	0.184324	0.207214
s	0.00163777	0.0150662	0.0448309	0.0602301	0.191011	0.128219	0.267039	0.291966
w	0.00272149	0.00781919	0.017614	0.0555443	0.23177	0.222339	0.327485	0.134707
ω	0.0030303	0.00632842	0.0269705	0.0846541	0.283078	0.162044	0.188384	0.24551
</S>	0.000110123	0.000904835	0.00427477	0.0332714	0.0685693	0.162753	0.0318286	0.698288
