 	je	suis	comme	ton	cadet	</S>
n	0.48104	0.359576	0.0903185	0.0596222	0.00337975	0.00606375
g	0.968267	0.0113099	0.00247504	0.0178362	7.23235e-05	3.94979e-05
á	0.910774	0.0561418	0.00525035	0.0254949	0.00202914	0.000309477
i	0.200853	0.302203	0.158309	0.208705	0.0193032	0.110627
d	0.0538401	0.385624	0.112622	0.0237765	0.0935097	0.330628
í	0.161487	0.342117	0.163993	0.00564752	0.185013	0.141742
m	0.13851	0.106037	0.488111	0.141237	0.0276232	0.0984812
b	0.0123199	0.195124	0.569573	0.0255055	0.176708	0.0207697
v	0.0107128	0.209994	0.398676	0.0262498	0.203409	0.150958
a	0.0208149	0.226442	0.334603	0.0321097	0.075525	0.310505
l	0.0120925	0.106999	0.628964	0.105635	0.0526328	0.0936777
a	0.0441198	0.137955	0.291139	0.0679185	0.0656397	0.393228
o	0.0247816	0.0392422	0.237064	0.17273	0.342998	0.183185
d	0.000334954	0.0135358	0.0626563	0.0144348	0.850045	0.0589933
i	0.00428061	0.0222771	0.130241	0.0453731	0.661453	0.136374
m	0.00250688	0.0108708	0.129859	0.0702913	0.420683	0.36579
í	0.00223449	0.0155719	0.279334	0.0939534	0.423278	0.185628
y	0.0106472	0.0138498	0.12267	0.296212	0.170195	0.386426
a	0.0071432	0.0154511	0.0796791	0.431562	0.156435	0.30973
n	0.00333079	0.00513463	0.0414511	0.678838	0.123514	0.147731
ω	0.0213781	0.00733623	0.0144058	0.831936	0.0391609	0.0857833
</S>	0.00709311	0.00762028	0.0529191	0.236979	0.137304	0.558085
