 	le	féticheur	lui	avait	tout	expliqué	à	propos	du	pouvoir	mystique	d'	être	invisible	</S>
m	0.233337	0.563954	0.0434772	0.00752287	0.0149246	0.0352054	0.0509028	0.0251208	0.012083	0.00326021	0.00357304	0.00272109	0.00373131	4.60842e-05	0.00014068
í	0.0388101	0.202745	0.414528	0.162029	0.047243	0.0107279	0.0126763	0.0178398	0.00566907	0.00258998	0.00939263	0.013499	0.0104189	0.000365903	0.0514646
b	0.0761464	0.711248	0.0500735	0.0250757	0.00815288	0.00937535	0.0273996	0.0341594	0.0163145	0.00812236	0.0115068	0.00892379	0.00589531	0.000771595	0.00683426
h	0.0163278	0.0973392	0.0901008	0.0112691	0.0110927	0.0107209	0.0534661	0.123733	0.0190579	0.43023	0.0402722	0.0264066	0.0509133	0.00307095	0.0159996
ώ	0.154073	0.335804	0.266412	0.0165739	0.0242725	0.0100579	0.0171295	0.0276108	0.010401	0.0553109	0.0111959	0.0223501	0.0265964	0.000445049	0.021767
ω	0.295938	0.224182	0.399249	0.010641	0.0164021	0.0100522	0.0139862	0.00393468	0.0074937	0.00151714	0.00381657	0.00312898	0.00279171	0.00014518	0.00672136
l	0.126217	0.0316073	0.470547	0.0952736	0.0901461	0.0247043	0.0274744	0.0243077	0.0323896	0.00556471	0.0222417	0.0151684	0.0139913	0.000653066	0.0197146
á	0.0963308	0.00373154	0.123144	0.0956511	0.0993431	0.0406681	0.0538412	0.0352818	0.0788343	0.00286588	0.0764712	0.0717748	0.0182853	0.0123241	0.191453
l	0.153949	0.0215066	0.27203	0.151701	0.061602	0.116693	0.0823207	0.0291155	0.0376231	0.00219518	0.0148034	0.0145132	0.00909199	0.00335883	0.0294971
e	0.0257785	0.000844903	0.0907883	0.183564	0.14947	0.145774	0.054868	0.0232473	0.0655564	0.00136259	0.056224	0.0373193	0.00541091	0.0240963	0.135695
n	0.0508081	0.0020461	0.0880597	0.150688	0.315137	0.16668	0.0487292	0.0195809	0.0549	0.00595868	0.0233413	0.0145424	0.0034383	0.00513524	0.0509549
d	0.0202177	0.00952934	0.077888	0.112459	0.17159	0.524787	0.0247184	0.00421887	0.0171661	0.00130147	0.0059857	0.005574	0.000950601	0.00258075	0.0210331
