 	il	n'	y	a	pas	assez	de	travailleurs	pour	déplacer	cet	arbre	abattu	</S>
a	0.148661	0.136255	0.141244	0.154859	0.0736817	0.107211	0.127069	0.0396263	0.0158311	0.0103509	0.013346	0.0298376	0.00117906	0.000849434
s	0.00263877	0.0233454	0.00578201	0.0107113	0.0112512	0.0505513	0.0298821	0.766485	0.0355174	0.0375001	0.0113201	0.00222674	0.012154	0.000634874
á	0.00168044	0.0373741	0.0327569	0.0241652	0.0220564	0.0839078	0.0640956	0.488204	0.0249533	0.142749	0.0415539	0.0016829	0.0051101	0.02971
l	0.00689782	0.0336313	0.0320085	0.0258883	0.0419254	0.0768866	0.0637762	0.162377	0.042231	0.122674	0.0683411	0.0187864	0.0107958	0.293781
i	0.0400909	0.0184616	0.0318179	0.0291585	0.0336371	0.0635516	0.0919532	0.215925	0.0856613	0.179189	0.0912129	0.0110464	0.0128659	0.095428
á	0.0624437	0.0289212	0.0923743	0.0685449	0.0904597	0.101266	0.155996	0.0847657	0.0874381	0.0480939	0.0558156	0.0232741	0.00673742	0.0938702
d	0.0232229	0.0573633	0.102289	0.0591243	0.0392191	0.054172	0.114551	0.188478	0.101018	0.0689599	0.0506836	0.0146561	0.0173382	0.108925
í	0.00567753	0.0368716	0.0382877	0.0477267	0.0407002	0.0526205	0.078976	0.258781	0.0644569	0.0568948	0.0496731	0.00548755	0.0058128	0.258034
ω	0.0078328	0.0508679	0.103361	0.114742	0.110448	0.102891	0.0929268	0.0460435	0.0646448	0.0429576	0.0457363	0.0424288	0.0068457	0.168274
d	0.00193385	0.0124907	0.0328496	0.0599084	0.0792365	0.104155	0.0955147	0.307445	0.145367	0.0775394	0.0221233	0.00942392	0.0293815	0.0226302
z	0.000166082	0.00409716	0.00864916	0.010134	0.0237754	0.052201	0.0344738	0.468805	0.0735777	0.113154	0.0573074	0.00827258	0.0108359	0.134551
á	0.00993486	0.00800506	0.0165947	0.0247231	0.0369934	0.0673767	0.0613506	0.18256	0.229647	0.11066	0.112429	0.00116876	0.0387763	0.0997807
a	0.00217997	0.00876886	0.0316074	0.0652423	0.123233	0.144689	0.0680347	0.0346797	0.0598508	0.0720028	0.0544714	0.0415647	0.00468729	0.288989
y	0.000577631	0.0062996	0.0189689	0.034078	0.0831756	0.101001	0.167817	0.195795	0.195562	0.0969003	0.0361727	0.0366465	0.00437456	0.0226317
í	0.00223257	0.00684112	0.020841	0.0153395	0.0483161	0.100341	0.134345	0.188431	0.0566537	0.266434	0.0892108	0.0109133	0.00452101	0.0555798
í	0.000310118	0.0010772	0.00687049	0.0167045	0.0473116	0.0738146	0.0678878	0.125002	0.0923226	0.311943	0.109759	0.02297	0.00542112	0.118606
k	0.000788407	0.00327466	0.0108949	0.021569	0.0507271	0.0560431	0.100172	0.0704855	0.242826	0.211253	0.107343	0.0745229	0.00841365	0.041688
a	0.00091016	0.00998891	0.0110368	0.0470802	0.104196	0.13571	0.127654	0.0316847	0.110127	0.229986	0.0905259	0.0207726	0.0607648	0.019563
á	0.000164021	0.00317211	0.00561414	0.0288719	0.0875951	0.162365	0.144196	0.0924098	0.115744	0.161527	0.0442599	0.0311883	0.0228905	0.100003
m	0.0020443	0.00376836	0.00733916	0.0141167	0.0156601	0.0164902	0.0683461	0.058196	0.1861	0.206828	0.206212	0.115537	0.0196202	0.0797419
ó	0.017535	0.00842942	0.00715256	0.0127064	0.0235032	0.0135848	0.0472325	0.0106163	0.354403	0.0440085	0.136154	0.061067	0.118651	0.144956
i	0.00378335	0.00447849	0.0126887	0.0200923	0.0361828	0.030081	0.0570865	0.0358093	0.138349	0.179032	0.167639	0.10331	0.197688	0.0137806
t	0.00057544	0.00449059	0.00485868	0.00544319	0.00858403	0.00605702	0.011355	0.0188429	0.141125	0.178391	0.132323	0.0474764	0.385882	0.0545952
έ	0.000191279	0.00374972	0.00371109	0.00675528	0.0111165	0.0167043	0.0223482	0.0392395	0.0773032	0.187678	0.122286	0.0147843	0.44713	0.0470026
m	0.000505313	0.00123575	0.00456492	0.00540537	0.0226699	0.034187	0.0475157	0.104005	0.106659	0.355525	0.108978	0.0275436	0.0759828	0.105223
b	0.000247624	0.000212151	0.000225655	0.00135569	0.00812447	0.00702715	0.00823618	0.00184763	0.198827	0.0685845	0.15628	0.0244371	0.205223	0.319372
ε	0.00325526	0.000732119	0.00308051	0.00874381	0.0918061	0.0558999	0.0495193	0.00612783	0.109817	0.2344	0.0908554	0.087804	0.211029	0.0469292
