 	il	a	appelé	ses	chiens	</S>
w	0.649282	0.259311	0.0724595	0.016907	0.0017901	0.000250087
a	0.58315	0.261829	0.0568622	0.0759093	0.0218274	0.000421997
á	0.281395	0.551881	0.0739217	0.0589889	0.00355983	0.0302532
m	0.0442514	0.37567	0.303934	0.221129	0.0160367	0.0389782
i	0.0143191	0.175066	0.392174	0.263373	0.0594363	0.0956308
b	0.016679	0.0809443	0.265688	0.280641	0.221791	0.134257
é	0.0097779	0.049455	0.266398	0.169921	0.435892	0.0685557
á	0.00499477	0.0797448	0.367046	0.314676	0.120912	0.112627
a	0.0239912	0.0414016	0.242499	0.54969	0.115425	0.0269936
m	0.00181756	0.0084407	0.0368087	0.140846	0.794232	0.017855
b	0.00113284	0.00717679	0.01515	0.0471829	0.780316	0.149042
v	0.000197031	0.000782801	0.00355095	0.00176518	0.977004	0.0167004
á	0.000465809	0.00154762	0.0266159	0.00537221	0.93361	0.0323885
n	0.00224892	0.00813861	0.0756778	0.0358016	0.284352	0.593781
d	0.00799762	0.030198	0.0390581	0.15436	0.325882	0.442504
é	0.00383329	0.00661185	0.00820792	0.0253731	0.164526	0.791448
b	0.00768811	0.0217228	0.0536287	0.223112	0.107997	0.585851
á	0.0185796	0.0144046	0.139442	0.559262	0.105427	0.162884
w	0.0117553	0.0171193	0.0999838	0.439394	0.0680145	0.363733
a	0.0231916	0.0243949	0.0750465	0.417624	0.0898758	0.369868
</S>	0.00309945	0.00206958	0.00988063	0.175727	0.10984	0.699383
