 	les	jeunes	ont	déjà	troué	le	barrage	que	j'	avais	construit	dans	le	ruisseau	</S>
b	0.401092	0.531196	0.0568647	0.00150508	0.000466023	0.00204009	0.00337767	0.00221559	0.000603744	0.000279234	8.12965e-05	8.03128e-05	0.000157711	3.15547e-05	8.55308e-06
á	0.108274	0.846219	0.0273981	0.0022556	0.0022071	0.00170773	0.00927628	0.00068501	0.000248134	0.000267741	0.000102881	0.000238833	0.000977631	9.09732e-05	5.08237e-05
n	0.0330919	0.932269	0.0214738	0.00348506	0.000786289	0.000479569	0.00687474	0.000607439	0.000490537	0.000104625	6.80012e-06	3.19919e-05	8.34352e-05	2.22028e-05	0.00019217
a	0.353956	0.581956	0.0191699	0.00239512	0.00534287	0.00248826	0.00128022	0.00221442	0.0061667	0.000981878	0.000112977	0.000218209	0.000228123	0.000188028	0.0233014
b	0.172265	0.284641	0.372963	0.0696857	0.00954864	0.00711	0.00266237	0.0182172	0.0072229	0.0143963	0.00322278	0.0172816	0.00825136	0.00130571	0.0112261
á	0.037587	0.242286	0.303145	0.0300395	0.00759423	0.033893	0.0853146	0.0394705	0.0110736	0.0508468	0.00807092	0.042996	0.0489057	0.01354	0.0452366
n	0.0563369	0.22082	0.434314	0.0590097	0.0100392	0.0152715	0.047009	0.0188568	0.0153901	0.0313669	0.00592779	0.0173464	0.0184122	0.00779686	0.0421034
d	0.231561	0.1509	0.0913924	0.0220827	0.0576303	0.00902247	0.00444975	0.0069646	0.375388	0.00399918	0.00139784	0.00490372	0.00464544	0.000708263	0.0349547
z	0.189076	0.161126	0.242926	0.11314	0.0890602	0.007552	0.00118274	0.00651533	0.149218	0.00569902	0.00715056	0.00283127	0.0028718	0.00210303	0.0195485
é	0.497576	0.175129	0.0144278	0.018853	0.0813599	0.0587782	0.00790012	0.00717849	0.0379528	0.00458927	0.00794026	0.0122314	0.0102331	0.0130401	0.0528105
s	0.302841	0.218678	0.0602649	0.0357202	0.0372272	0.0525433	0.0170772	0.0141504	0.0431126	0.0115576	0.0428383	0.0102611	0.0174493	0.0341241	0.102155
