 	il	est	devenu	adulte	</S>
w	0.921918	0.0651214	0.00953755	0.00304392	0.000379543
a	0.949735	0.0392901	0.00538593	0.00531931	0.000269353
a	0.230484	0.63255	0.123023	0.00666849	0.00727494
b	0.0650541	0.463077	0.369882	0.0584428	0.0435441
h	0.0627948	0.472226	0.328064	0.0623695	0.0745457
í	0.0159428	0.177333	0.65397	0.0440708	0.108683
m	0.0358607	0.201189	0.416161	0.0465798	0.300209
o	0.126923	0.221988	0.349824	0.160851	0.140414
r	0.0482505	0.146067	0.258838	0.392466	0.154379
o	0.0206775	0.055458	0.162957	0.312412	0.448496
a	0.0291758	0.0588985	0.183577	0.359714	0.368634
m	0.00252611	0.042965	0.397206	0.411485	0.145817
w	0.00521186	0.0322515	0.0899281	0.412102	0.460506
ε	0.00597355	0.00699493	0.0419931	0.716041	0.228997
</S>	0.000306349	0.00543368	0.078731	0.13085	0.784679
