 	cet	oiseau	a	une	longue	queue	</S>
n	0.453538	0.475768	0.0605069	0.00441864	0.0042502	0.00140935	0.0001089
y	0.0127068	0.986513	0.00067454	6.57277e-05	2.63145e-05	6.73212e-06	6.49299e-06
ω	0.00297994	0.99643	0.00024736	0.000245134	4.01038e-05	3.80602e-05	1.92813e-05
s	0.0159664	0.979501	0.00118978	0.000288432	0.000258064	0.000285916	0.00250989
í	0.0966291	0.0104754	0.279498	0.0677115	0.0251741	0.0150459	0.505466
w	0.139786	0.0201808	0.723373	0.0567853	0.0302436	0.00257298	0.0270582
ó	0.164857	0.0418915	0.46259	0.226443	0.0337136	0.00414458	0.0663611
a	0.217618	0.0126685	0.411997	0.151194	0.0762747	0.0119456	0.118302
d	0.0151771	0.00219224	0.216551	0.482495	0.213615	0.0168132	0.0531566
í	0.0123918	0.000214799	0.0664826	0.58416	0.165851	0.0679216	0.102978
l	0.0345655	0.000447608	0.0509995	0.448158	0.240462	0.120313	0.105055
e	0.00394425	0.000284649	0.0438966	0.426455	0.318335	0.0678581	0.139226
s	0.0064336	0.000449848	0.0136641	0.0824286	0.171052	0.625009	0.100962
o	0.00434523	0.000145872	0.00233823	0.101794	0.0783162	0.777403	0.0356573
a	0.00152064	4.98252e-06	0.00292679	0.01964	0.0758092	0.80715	0.0929483
e	0.00224083	0.000345278	0.0199014	0.0575922	0.236074	0.182926	0.500921
l	0.0101508	0.000348604	0.0116817	0.0449672	0.264099	0.411931	0.256822
a	0.00254159	3.26721e-05	0.00344343	0.0218237	0.124712	0.70689	0.140557
á	0.00274435	2.48798e-05	0.00263236	0.0185263	0.101744	0.559358	0.31497
</S>	0.00506232	0.00111257	0.0139332	0.0320773	0.0964021	0.177106	0.674306
