 	c'	est	par	un	anneau	que	cette	femme	a	porté	au	doigt	que	j'	ai	su	qu'	elle	est	mariée	</S>
n	0.358804	0.308663	0.105078	0.111235	0.0133003	0.0423225	0.0367667	0.00259007	0.00498232	0.000937426	0.0013881	0.000572125	0.00434788	0.00123827	0.00442687	0.000363265	0.000784867	0.000322089	0.00175336	8.6332e-05	3.63341e-05
g	0.07882	0.0218621	0.0145787	0.0371929	0.773475	0.0278632	0.0319203	0.00588955	0.00116228	9.25307e-05	0.000263152	0.000493754	0.000517113	0.00477834	0.000764226	6.18244e-05	2.75204e-05	4.21587e-05	6.01209e-05	0.000124714	1.06063e-05
á	0.0407596	0.100043	0.032069	0.0352972	0.709106	0.00977102	0.0136744	0.0464956	0.00157322	0.00032407	0.000339289	0.000113833	0.000167554	0.00975619	0.000272537	0.000168448	1.53056e-05	1.84729e-05	7.62615e-06	2.03479e-05	8.04458e-06
í	0.222985	0.36589	0.114649	0.0773884	0.0144678	0.0417771	0.037698	0.00644528	0.0151456	0.00694117	0.00669271	0.00563883	0.00483247	0.00614624	0.0139455	0.00561654	0.00235947	0.0051493	0.00564128	0.000296775	0.0402933
y	0.0874011	0.25476	0.242489	0.0808633	0.0247972	0.0690879	0.0313602	0.0125276	0.0601014	0.0524663	0.0309933	0.0098273	0.00211425	0.00247893	0.00535868	0.00482505	0.00248478	0.008131	0.010783	0.0019943	0.00515588
é	0.0477489	0.204313	0.343598	0.131311	0.036324	0.0419191	0.0360712	0.00780791	0.0329153	0.0157888	0.0169657	0.0121887	0.00476909	0.00310299	0.00824877	0.00726912	0.00320624	0.00882223	0.00581274	0.00198584	0.0298304
b	0.028092	0.066838	0.2949	0.259459	0.0561752	0.0633481	0.0482344	0.0112933	0.0217084	0.0123753	0.0194221	0.0133653	0.00978561	0.00491847	0.0127992	0.00726453	0.00567805	0.00735976	0.0065996	0.00138631	0.0489974
h	0.00966633	0.106654	0.264762	0.342583	0.0873589	0.0877788	0.0368007	0.00318816	0.00457364	0.00502677	0.0124139	0.0171249	0.00492059	0.00245246	0.00281844	0.00512124	0.000821714	0.00261373	0.00113983	0.000452346	0.0017291
i	0.0519635	0.154025	0.229418	0.230889	0.0595197	0.103953	0.0370489	0.00276952	0.0119478	0.02085	0.0292395	0.0109041	0.00857131	0.00739051	0.00371406	0.00671986	0.00215504	0.00428763	0.00168577	0.000157677	0.02279
w	0.0243834	0.0432612	0.137939	0.394134	0.225426	0.0847034	0.0401615	0.00282575	0.00365795	0.00208834	0.00356371	0.00431348	0.00789381	0.00185799	0.00336827	0.00204547	0.00399894	0.00266217	0.00112652	0.000293293	0.0102964
