 	l'	habit	est	devenu	très	sale	</S>
o	0.702053	0.278473	0.0147757	0.00124501	0.00184259	0.00147583	0.000134662
k	0.0406074	0.954013	0.00337685	0.000419104	0.000509645	0.000753385	0.000321242
á	0.00322335	0.99463	0.000169178	0.00041292	0.000229004	0.00115333	0.000181872
n	0.0105657	0.939294	0.0111976	0.020436	0.00521104	0.00199814	0.0112978
d	0.0514082	0.944684	0.00146639	0.000410391	0.000387885	0.000469557	0.00117321
á	0.102402	0.840459	0.0151732	0.00168652	0.00172816	0.00104228	0.0375088
ó	0.239209	0.0362163	0.646704	0.0431025	0.0223085	0.000396103	0.0120642
m	0.101741	0.0237492	0.353952	0.411487	0.0976447	0.002172	0.00925327
i	0.097517	0.000353493	0.314761	0.153943	0.295605	0.0107311	0.127089
s	0.00751299	0.00368997	0.0410523	0.773185	0.0995308	0.00675936	0.0682696
á	0.0128663	0.000946937	0.0859006	0.51299	0.294755	0.0263651	0.0661767
á	0.0326229	0.00386615	0.299437	0.154476	0.272308	0.0390389	0.198252
o	0.019751	0.00296978	0.110709	0.106372	0.661892	0.0601709	0.0381361
b	0.00671479	0.00460523	0.00798295	0.157381	0.396099	0.387916	0.0393021
ω	0.00259788	0.00357533	0.0101784	0.29635	0.201358	0.429369	0.0565708
m	0.000285962	0.00253944	0.00704733	0.0972877	0.168662	0.647792	0.0763847
ώ	0.00131259	0.000152859	0.0127763	0.0270276	0.369436	0.26979	0.319504
l	0.00686319	0.00017175	0.0153075	0.00698344	0.23156	0.196041	0.543073
a	0.00361296	0.00220187	0.0171897	0.0143819	0.237543	0.274621	0.450449
m	0.0110991	0.00142347	0.0207804	0.00190192	0.0708014	0.528904	0.365089
b	0.00232655	0.000135757	0.0154515	0.000745172	0.0748982	0.804945	0.101497
i	0.000329028	8.50253e-05	0.000654379	0.000498264	0.0127539	0.927403	0.0582761
n	0.000298901	0.000113867	0.00107298	0.00420581	0.037724	0.861337	0.0952472
d	0.0108903	0.0305558	0.0140463	0.00380821	0.0882375	0.284519	0.567943
i	0.0113852	0.0213619	0.00766597	0.000904759	0.0397916	0.490929	0.427961
</S>	0.0167965	0.0194288	0.0137578	0.00458978	0.143738	0.300605	0.501084
