 	tous	les	jeunes	se	sont	baignés	dans	le	fleuve	</S>
a	0.701755	0.243987	0.0331274	0.00526287	0.00218827	0.00260355	0.00205142	0.00885872	0.000128222	3.76748e-05
n	0.537827	0.293675	0.125174	0.0271153	0.00632382	0.00174646	0.00169556	0.0035019	0.00170086	0.00123912
d	0.317099	0.416699	0.168603	0.0316026	0.0211452	0.000285323	0.00170985	0.00697164	0.0192001	0.0166838
z	0.34899	0.299035	0.222028	0.0271036	0.013065	0.00269207	0.00314827	0.00442997	0.0522049	0.027303
é	0.416993	0.197748	0.186898	0.0436502	0.0191667	0.00861923	0.00923568	0.00816606	0.0979311	0.0115915
s	0.151143	0.128729	0.506559	0.0397699	0.0243477	0.00186243	0.00887278	0.0229289	0.0537914	0.0619956
i	0.368654	0.240263	0.131665	0.0623846	0.0219037	0.00602466	0.0219703	0.0175128	0.0323819	0.0972395
á	0.187011	0.351852	0.177493	0.170909	0.0568511	0.00814726	0.0184094	0.0104292	0.0013576	0.0175414
t	0.0552155	0.0915356	0.226667	0.37265	0.138222	0.0336412	0.0311449	0.00931225	0.0026693	0.038943
s	0.06285	0.165089	0.250811	0.253565	0.108746	0.0191579	0.0697786	0.0137692	0.00788069	0.0483528
ω	0.0349995	0.145951	0.261944	0.273096	0.141046	0.0393272	0.0730163	0.0117659	0.00256723	0.0162864
á	0.0188183	0.067369	0.0521275	0.185092	0.269414	0.128188	0.161003	0.0452522	0.004895	0.0678414
p	0.00858986	0.018918	0.0663932	0.152987	0.315593	0.179395	0.159846	0.0724656	0.0100451	0.0157675
f	0.00170031	0.00461053	0.0159717	0.0363844	0.040962	0.866326	0.0165888	0.00328804	0.0050554	0.0091131
ú	0.000702022	0.0023803	0.0120816	0.0358773	0.0401711	0.883265	0.0203368	0.00285308	0.000385225	0.0019473
b	0.00128264	0.00219373	0.00422333	0.0139033	0.0278544	0.817156	0.100505	0.0156684	0.00308085	0.0141326
h	0.000276935	0.00135082	0.00526642	0.00711305	0.0201363	0.892025	0.0494384	0.0130943	0.0031494	0.00814938
u	0.00295142	0.0079566	0.0226207	0.0258394	0.0751595	0.361213	0.370707	0.106409	0.00837607	0.0187675
s	0.000471356	0.000817078	0.00142185	0.00968844	0.0934801	0.0325348	0.31368	0.467439	0.0267846	0.0536827
á	0.00247307	0.00363842	0.00307486	0.0133532	0.0431935	0.0246689	0.345965	0.373787	0.0790308	0.110815
ε	0.00263413	0.00303795	0.0067441	0.00486439	0.0132537	0.00938111	0.0472075	0.222513	0.673397	0.0169674
b	0.00455615	0.0102805	0.00916691	0.0270373	0.0392349	0.0213113	0.0430118	0.07948	0.656578	0.109343
a	0.0208077	0.0709156	0.0417102	0.12363	0.105256	0.126448	0.0273151	0.0821038	0.336203	0.0656102
a	0.000744817	0.00274864	0.00340745	0.00553307	0.0190805	0.12414	0.0278975	0.0225531	0.179917	0.613977
</S>	0.00319727	0.0105819	0.0125879	0.0227359	0.0586337	0.0222576	0.0723288	0.197022	0.257504	0.343151
