 	les	enfants	veulent	toucher	le	blanc	</S>
b	0.399776	0.592958	0.00230312	0.00130849	0.00267548	0.000911208	6.73388e-05
á	0.0285995	0.969484	0.000419084	0.000171368	0.000837796	0.000462491	2.60138e-05
n	0.0166879	0.982665	0.000134681	0.000181596	0.000176805	8.3333e-05	7.11894e-05
a	0.0911946	0.907485	7.37398e-05	0.000277745	0.000202518	7.50078e-05	0.000691226
b	0.682436	0.192278	0.0509398	0.0192281	0.0167408	0.00361074	0.0347666
á	0.18598	0.289733	0.0634096	0.049368	0.0785658	0.048421	0.284523
n	0.189084	0.277586	0.366183	0.0407584	0.0367557	0.0215456	0.0680871
d	0.357172	0.460251	0.0384835	0.0472814	0.0202746	0.00341131	0.0731266
z	0.180284	0.579746	0.0692421	0.102563	0.0151627	0.00424533	0.0487565
é	0.392932	0.376453	0.0494683	0.129448	0.017994	0.00446311	0.0292419
s	0.340247	0.068131	0.0648269	0.281804	0.116456	0.0278157	0.100719
i	0.572826	0.13474	0.0280337	0.165594	0.0357272	0.00661173	0.0564672
á	0.147109	0.0187277	0.513951	0.191666	0.0842835	0.00903864	0.035224
d	0.0102057	0.00390445	0.524555	0.286948	0.0816755	0.00968582	0.083025
í	0.00828952	0.000171022	0.14199	0.288922	0.0705237	0.0121385	0.477965
l	0.028109	0.00130826	0.151819	0.247948	0.304932	0.0437824	0.222101
a	0.00237894	0.000428682	0.0391394	0.365048	0.146213	0.0503985	0.396394
p	0.0187515	0.00311639	0.0652189	0.394117	0.196643	0.254664	0.0674884
ó	0.00446562	0.00315526	0.225655	0.233179	0.0740434	0.4021	0.0574019
s	0.00056578	0.000112341	0.156981	0.410376	0.108324	0.13413	0.189511
á	0.00502035	2.99092e-05	0.170437	0.266989	0.18543	0.233109	0.138984
o	0.012192	0.0024362	0.0241754	0.123787	0.327701	0.328384	0.181324
k	0.00125476	0.000265365	0.0210315	0.0951388	0.15793	0.685667	0.0387128
á	0.000164404	0.000239147	0.0614336	0.082492	0.134104	0.66227	0.0592973
r	0.000791909	5.29267e-05	0.0535131	0.0666011	0.0853298	0.494733	0.298978
á	0.00168318	0.00010347	0.0202218	0.168696	0.160118	0.392116	0.257061
e	0.00860336	0.000541882	0.0129587	0.0619139	0.187241	0.275903	0.452838
b	0.0195667	0.00201378	0.026374	0.0966113	0.162873	0.445647	0.246914
a	0.00404409	0.00256474	0.011735	0.0382208	0.169222	0.713071	0.0611418
a	0.00240489	0.000155943	0.00453394	0.00855719	0.0202472	0.541095	0.423005
m	0.0112781	0.000293878	0.020151	0.0844071	0.253911	0.214646	0.415313
i	0.0096623	0.000432641	0.0115419	0.132042	0.444262	0.154198	0.24786
</S>	0.00456878	0.000943744	0.0157906	0.0803552	0.289226	0.217687	0.391429
