 	ne	fais	pas	couler	tes	larmes	pour	rien	l'	enfant	va	mieux	</S>
y	0.474306	0.371884	0.124889	0.00665973	0.0044366	0.00134566	0.00231682	0.00403238	0.0096093	0.000341889	3.54537e-05	0.000134276	9.13287e-06
í	0.497616	0.393132	0.0694726	0.00364999	0.00494897	0.00698075	0.00367752	0.00508581	0.00815485	0.00393344	0.000867282	0.000227698	0.00225306
á	0.131241	0.595502	0.146904	0.0147988	0.00581224	0.0343543	0.00611112	0.0310909	0.0267389	0.00510638	0.000395636	0.00012575	0.00181906
a	0.129354	0.495167	0.311583	0.0183073	0.0141476	0.00727307	0.00401591	0.00319082	0.00247766	0.00144079	0.00196459	0.000538395	0.0105404
t	0.0640742	0.254805	0.29776	0.244515	0.039884	0.0312542	0.0143214	0.0059577	0.00357887	0.00838751	0.0223061	0.00439535	0.00876074
s	0.0126865	0.062911	0.137148	0.66339	0.0342539	0.0242658	0.0192697	0.00543668	0.00160528	0.00455558	0.0151751	0.00163119	0.0176711
á	0.0514586	0.137123	0.1001	0.594211	0.0449138	0.0313469	0.0158713	0.0119654	0.00324494	0.00283521	0.00117192	0.000614457	0.005143
n	0.0412305	0.0708516	0.0758381	0.223702	0.0477261	0.0254091	0.0445399	0.0222737	0.0131955	0.0488921	0.0211015	0.0166719	0.348568
g	0.0552025	0.350908	0.0643505	0.121958	0.0644256	0.138378	0.0270388	0.0583491	0.0402541	0.0236918	0.00227622	0.00122368	0.0519438
á	0.0512581	0.187809	0.0999077	0.0717849	0.15217	0.20181	0.0108869	0.0450575	0.0352486	0.118966	0.00139942	0.00044116	0.0232605
o	0.0692614	0.0835395	0.212361	0.133415	0.313846	0.0662869	0.0326128	0.0183065	0.0341336	0.0110658	0.00486712	0.00528193	0.0150235
k	0.020398	0.0267762	0.0426445	0.371188	0.193241	0.243645	0.0494664	0.0143537	0.00721445	0.00604862	0.0177789	0.00362181	0.00362322
y	0.00499809	0.0105046	0.0361875	0.533444	0.0830673	0.0983936	0.125433	0.0374561	0.00497887	0.00639679	0.0310682	0.0147319	0.0133405
ε	0.00857483	0.0198101	0.0349802	0.400571	0.113634	0.174236	0.12772	0.0545234	0.00749265	0.00374822	0.0107462	0.00871496	0.0352475
l	0.00430994	0.00980973	0.0529386	0.102206	0.199059	0.171398	0.124639	0.108799	0.0919413	0.0110787	0.00952663	0.0115167	0.102777
í	0.00243838	0.0166503	0.0200956	0.0703222	0.227936	0.321078	0.130355	0.0804687	0.034958	0.00108701	0.0088314	0.0157921	0.069987
s	0.0016472	0.00161377	0.00464097	0.00908269	0.1269	0.160246	0.195361	0.166784	0.170621	0.101524	0.0141799	0.00552189	0.0418768
έ	0.00241482	0.00408138	0.00326339	0.00940391	0.0674202	0.24732	0.136272	0.303376	0.187014	0.0047879	0.00986705	0.00197909	0.0227989
n	0.00071576	0.00122121	0.00267464	0.00125349	0.0263013	0.0765118	0.157551	0.318547	0.349214	0.0397216	0.00946586	0.0023143	0.0145074
g	0.000258769	0.000567162	0.000500459	0.000307575	0.0300464	0.200486	0.0593484	0.332064	0.360441	0.0110615	0.000828135	0.000440963	0.00364923
u	0.000130519	0.000691919	0.000706064	0.00022311	0.0240603	0.169917	0.074549	0.282377	0.344814	0.0908774	0.00245661	0.000864071	0.0083326
a	0.000341297	0.000251038	0.00160509	0.000622519	0.015079	0.0242752	0.223548	0.332131	0.355165	0.00965142	0.0196553	0.00431974	0.0133556
m	0.00973131	0.00614924	0.0153257	0.0166975	0.0381333	0.0431508	0.184272	0.208714	0.163185	0.0337805	0.17904	0.0597151	0.0421058
w	0.00558998	0.00217282	0.0135397	0.00435175	0.00788082	0.00311122	0.0613817	0.100497	0.0926174	0.231912	0.223547	0.0168535	0.236544
á	0.000252421	6.31399e-05	0.000157087	0.000358995	0.000670383	0.0017015	0.0165081	0.0264501	0.0126639	0.89581	0.0253814	0.00466522	0.0153178
n	0.000414849	0.000188227	0.000520192	0.000298312	0.00547253	0.00319889	0.0349961	0.160212	0.175478	0.493083	0.030814	0.0143744	0.080949
a	0.00320221	0.00582751	0.00370486	0.0026819	0.0109549	0.0251313	0.0318357	0.106085	0.238313	0.436636	0.0332569	0.00126882	0.101102
a	0.000918896	0.00112961	0.00313521	0.00109664	0.0186705	0.0152242	0.0685434	0.0895198	0.292766	0.0358663	0.278068	0.0919934	0.103068
d	0.00431849	0.00568068	0.011485	0.00951161	0.019937	0.016879	0.0431978	0.0401239	0.0259285	0.00660311	0.552314	0.181682	0.0823392
í	0.00177493	0.000800072	0.00142128	0.00172098	0.00462453	0.00575765	0.0290509	0.0798487	0.0145093	0.0029502	0.342724	0.00831712	0.5065
i	0.00166572	0.000778437	0.00339423	0.000538533	0.00624654	0.00381372	0.0302024	0.0950387	0.0675043	0.00917278	0.248915	0.182067	0.350663
b	0.00229414	0.00278148	0.00265712	0.00440412	0.00458359	0.00416036	0.0110605	0.0126834	0.00374148	0.00406933	0.196253	0.41682	0.334491
h	0.00113186	0.00224281	0.00366563	0.00531303	0.00821765	0.00298297	0.0162105	0.0201163	0.00341231	0.00517956	0.102448	0.769415	0.059664
ώ	0.000443637	0.000516563	0.000338107	0.00149055	0.000550066	0.000494582	0.00356584	0.00480538	0.000643795	0.000361607	0.0181271	0.946086	0.022577
ω	9.74042e-05	4.7302e-05	0.000134002	0.00051589	0.000602027	0.00102247	0.0108543	0.0250044	0.0143977	0.00165769	0.0584653	0.593843	0.293359
k	0.0043186	0.00185055	0.00375794	0.00464303	0.00977032	0.00570823	0.033113	0.0473186	0.0226633	0.00123297	0.079372	0.501176	0.285075
a	0.000391759	0.000604233	0.00119367	0.00723947	0.00295339	0.00145322	0.0162293	0.00938033	0.00107991	0.00030628	0.0435277	0.847903	0.0677381
á	0.00171566	0.00100493	0.00178791	0.00484861	0.000937939	0.000715551	0.00621109	0.00803667	0.00308275	0.00376842	0.0485176	0.687725	0.231648
</S>	0.00317319	0.00334144	0.00868359	0.00384274	0.037616	0.0220972	0.0618666	0.0585551	0.0811035	0.0168403	0.0898219	0.120425	0.492634
