 	de	quelle	affaire	as-tu	parlé	</S>
n	0.355367	0.498967	0.112118	0.0284088	0.00309794	0.00204199
ω	0.459584	0.400516	0.00736333	0.129191	0.00144172	0.00190279
ó	0.166388	0.701483	0.0415984	0.0621539	0.00864516	0.019731
t	0.0559483	0.166319	0.396208	0.134796	0.136749	0.109979
i	0.00906352	0.0185376	0.361282	0.0457705	0.262677	0.302669
i	0.0101872	0.0297092	0.490723	0.0551815	0.151612	0.262587
m	0.159938	0.0804936	0.163732	0.311742	0.214238	0.0698568
í	0.123798	0.0389646	0.0671626	0.0417155	0.289141	0.439218
b	0.119239	0.0426493	0.197747	0.10035	0.270109	0.269906
h	0.0238889	0.0233581	0.284116	0.0446122	0.516023	0.108001
ώ	0.0174343	0.0156128	0.443576	0.0493128	0.373155	0.100909
ω	0.0815651	0.0398115	0.312576	0.212136	0.195757	0.158153
d	0.0417472	0.0131455	0.110622	0.162338	0.0607433	0.611404
i	0.00751652	0.00366347	0.00882169	0.0742593	0.0348026	0.870936
</S>	0.0172336	0.00777577	0.0427932	0.0706728	0.0878064	0.773718
