 	hier	le	chassueur	a	tué	un	pigeon	vert	</S>
o	0.817881	0.175109	0.00466441	0.00100608	8.45338e-05	0.000959737	0.000102169	0.000173034	1.96773e-05
b	0.891862	0.0342683	0.0687132	0.000599679	0.00217674	0.000333885	0.000708004	0.0004662	0.000871783
e	0.948589	0.0143367	0.0268304	0.000865203	0.00348205	0.0011373	0.0017464	0.000703025	0.00231016
n	0.860388	0.0256565	0.0849994	0.00639969	0.00430406	0.00157366	0.00185778	0.00039015	0.0144309
g	0.38545	0.351564	0.239367	0.00821539	0.00144586	0.00441719	0.00308824	0.00053553	0.0059162
i	0.29553	0.33165	0.326112	0.0235281	0.00918099	0.00481383	0.00270275	0.000494252	0.00598829
á	0.0644219	0.40778	0.229099	0.265807	0.00923402	0.0118272	0.00391983	0.000776038	0.00713528
b	0.0070621	0.0227875	0.059927	0.295647	0.515341	0.0356356	0.0476782	0.00457381	0.0113471
o	0.00116932	0.00431904	0.0162487	0.134109	0.790719	0.0316896	0.0118359	0.000678539	0.00923053
m	0.0193326	0.0262038	0.0194752	0.17041	0.636583	0.0936048	0.0140642	0.0108518	0.00947387
i	0.00260917	0.0443592	0.0772079	0.227827	0.343042	0.164017	0.0639245	0.0477942	0.0292184
e	0.0014126	0.0152676	0.00947049	0.225682	0.115059	0.387508	0.101414	0.0472389	0.096947
m	0.000794706	0.000995798	0.00183802	0.0228972	0.0680875	0.310933	0.48695	0.0539462	0.0535576
b	0.000107524	0.000307459	0.00497256	0.00873046	0.137459	0.104645	0.66766	0.00752404	0.0685947
e	3.23059e-05	0.000249816	0.0095269	0.00396183	0.225109	0.066435	0.653106	0.00267319	0.0389062
n	5.23935e-05	0.000192413	0.00323248	0.032317	0.263428	0.10667	0.554767	0.00490148	0.0344397
g	0.00256087	0.00266687	0.00554147	0.0167854	0.0344103	0.245656	0.596851	0.0246627	0.0708657
á	0.00723611	0.0549087	0.0220326	0.0170753	0.026586	0.223068	0.401797	0.0878965	0.1594
l	0.0014418	0.00184202	0.00103544	0.0124553	0.00471063	0.155164	0.264113	0.370333	0.188905
a	0.000371597	0.00126276	0.000400303	0.00257976	0.00476217	0.0512889	0.220045	0.283308	0.435981
p	0.000306374	0.00131327	0.000110283	0.00182842	0.000843776	0.0346655	0.0511609	0.684175	0.225597
ó	0.000389209	0.000204712	3.22392e-05	0.000305323	0.000269275	0.0034862	0.00789298	0.973736	0.0136845
a	9.62359e-05	7.18162e-05	9.74511e-05	0.0014512	0.0013493	0.0201471	0.0475222	0.739585	0.189679
</S>	0.000867677	0.00280611	0.00142037	0.0156477	0.00403922	0.0983295	0.0980192	0.163544	0.615326
