 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
m	0.873533	0.107875	0.00912793	0.000224562	0.00268566	0.000271335	0.00257512	0.00159406	0.00125155	0.00070959	2.80245e-05	0.00012339
v	0.0171475	0.9646	0.0117982	0.000199266	0.00364279	5.58191e-05	0.000125442	0.000136184	7.85597e-05	0.000674866	0.00011458	0.00142694
á	0.0176266	0.97871	0.000382372	0.000322796	0.00151224	0.00107859	2.32607e-05	1.71674e-05	5.59437e-05	0.00011725	0.000110088	4.33492e-05
n	0.0738367	0.901981	0.000803661	0.000304633	0.00117189	0.00135818	0.000467754	0.000125137	9.52764e-05	0.00061811	0.000411398	0.0188262
d	0.112648	0.533939	0.0845138	0.0137807	0.0227398	0.0240765	0.013058	0.00924654	0.00424374	0.00318972	0.00344776	0.175117
é	0.268716	0.346083	0.13626	0.00806421	0.0144504	0.0121751	0.0247687	0.00728203	0.00188567	0.00380144	0.00576069	0.170754
á	0.069436	0.020155	0.80504	0.0419435	0.0175143	0.00176599	0.0111975	0.0100474	0.00508272	0.00579783	0.00114632	0.0108732
m	0.0494102	0.0244255	0.514365	0.183363	0.0566912	0.00929213	0.00963981	0.0343678	0.0749075	0.0182146	0.00358765	0.0217354
i	0.00973181	0.0772953	0.338715	0.185864	0.195668	0.147874	0.0122544	0.00491688	0.00331379	0.0068417	0.00262416	0.0149017
p	0.00158298	0.0184201	0.0493542	0.81056	0.0290225	0.065843	0.00189879	0.00162543	0.0121276	0.00151032	0.00158335	0.00647179
i	0.000501836	0.00158551	0.0144278	0.867239	0.0189828	0.0667424	0.00336059	0.00166158	0.0118689	0.00164831	0.00210488	0.00987685
á	0.00103272	0.00148206	0.0751824	0.534145	0.132866	0.167956	0.0225576	0.00704216	0.0192854	0.00824191	0.00352911	0.0266803
e	0.00705033	0.00178547	0.0370236	0.00380933	0.210681	0.164041	0.417974	0.104586	0.026445	0.01566	0.00551353	0.00543165
b	0.00279345	0.00807441	0.00526662	0.0170545	0.250121	0.467621	0.0675929	0.0345606	0.0994971	0.011743	0.0195868	0.0160882
h	0.00359	0.0109393	0.00339076	0.00451691	0.0503151	0.851968	0.0217471	0.0132359	0.0264826	0.00432447	0.00220172	0.00728747
e	0.000397996	0.00435258	0.00105869	0.00417231	0.0264174	0.90564	0.0104258	0.00660857	0.019072	0.0064973	0.00234986	0.0130075
s	0.000244743	0.000230683	0.0019026	0.000857915	0.0379003	0.802657	0.072899	0.0210048	0.0174395	0.00847744	0.00491895	0.0314672
é	0.00385682	0.000384698	0.00222471	0.0119024	0.0527177	0.517763	0.0927986	0.0291014	0.011495	0.0303501	0.062465	0.18494
y	0.00305961	0.000534434	0.00828474	0.000456907	0.0733848	0.0587871	0.487218	0.176556	0.0582506	0.0426303	0.0227485	0.0680897
έ	0.0432628	0.000553207	0.0177115	0.00872388	0.0506995	0.0386527	0.205532	0.151594	0.0614266	0.112305	0.255971	0.0535684
έ	0.00244738	9.15443e-05	0.00183592	0.000451494	0.0169427	0.0151756	0.130456	0.0934112	0.0330445	0.182625	0.410598	0.112921
b	0.000641131	0.000564649	0.00364181	0.00275096	0.0153063	0.0114542	0.0167712	0.069874	0.354309	0.166023	0.232756	0.125907
v	0.000435465	0.00100028	0.00390291	0.000644411	0.00690768	0.0354901	0.00493003	0.0419845	0.712417	0.0907351	0.0219477	0.0796048
έ	0.00659169	0.00162981	0.00261061	0.000553552	0.00349426	0.0417006	0.0187569	0.142051	0.56919	0.109439	0.0119762	0.092007
έ	0.00145557	0.000340875	0.000774828	5.01481e-05	0.00154352	0.0225493	0.0229422	0.0483936	0.0915774	0.0591131	0.0487643	0.702495
a	0.000987507	0.000592252	0.00587741	0.000738241	0.0166053	0.00639218	0.01463	0.034337	0.23887	0.214081	0.18171	0.285179
m	0.00289006	0.00269802	0.0448954	0.00517372	0.0403911	0.0208452	0.0311243	0.0280734	0.165691	0.177503	0.209384	0.271331
ε	0.000307382	0.00142892	0.00639473	0.00091532	0.0447128	0.0190204	0.00554962	0.004446	0.00427124	0.188973	0.49817	0.22581
έ	4.82254e-05	0.000775575	0.000649763	0.000192375	0.0129878	0.0153444	0.000994962	0.00169075	0.00815136	0.140271	0.372065	0.446828
w	0.000561884	0.000225017	0.00241041	0.000381895	0.00602412	0.00392516	0.00555113	0.00813832	0.0740678	0.180235	0.252059	0.466421
a	0.00146362	0.000104615	0.00369698	0.00101975	0.0047392	0.0111701	0.0523379	0.140985	0.163659	0.294335	0.167113	0.159376
</S>	0.0013008	9.46457e-05	0.00366733	0.00114639	0.0104837	0.00873212	0.0481604	0.0242938	0.0327548	0.0977096	0.183196	0.58846
