 	mon	frère	aîné	est	parti	à	damara	</S>
o	0.772351	0.0968974	0.0561104	0.0604758	0.0018459	0.00603484	0.00531468	0.000969944
n	0.0283964	0.95102	0.0105444	0.00086338	0.00543734	0.00144236	0.00126908	0.00102692
y	0.168644	0.333165	0.175833	0.0200324	0.0649438	0.0502321	0.0372602	0.14989
ε	0.340702	0.23534	0.223875	0.029926	0.0567925	0.0376773	0.0500711	0.0256164
b	0.0811264	0.369919	0.432303	0.00906193	0.0112473	0.0177681	0.0157454	0.0628285
h	0.142957	0.416771	0.0710317	0.0143365	0.0119083	0.0409194	0.00764667	0.294429
í	0.0383728	0.0812906	0.0422584	0.0197627	0.00645848	0.033722	0.0210899	0.757045
y	0.198552	0.237458	0.0817274	0.405865	0.015858	0.0324911	0.00679188	0.0212556
a	0.902402	0.0444149	0.0171925	0.0176806	0.00451548	0.00189405	0.00645174	0.00544922
n	0.803902	0.0189768	0.034915	0.0956231	0.00630714	0.00472313	0.0223213	0.0132315
g	0.978025	0.00334706	0.00637254	0.0036793	0.000515189	0.00047815	0.00372871	0.00385435
á	0.359009	0.0605604	0.247078	0.0467459	0.0637099	0.0171031	0.0292793	0.176515
y	0.0422563	0.03751	0.130603	0.630224	0.02281	0.0887128	0.0165881	0.0312958
a	0.37775	0.0652047	0.0580491	0.328174	0.0932994	0.0190083	0.0352739	0.0232409
i	0.115505	0.021141	0.104786	0.599236	0.0807453	0.0244525	0.0276808	0.0264532
b	0.00940442	0.0402132	0.253987	0.201304	0.390339	0.048078	0.00568903	0.0509857
a	0.000875339	0.0148184	0.83448	0.0687147	0.0320133	0.02097	0.00795873	0.02017
a	0.00137254	0.00939641	0.709443	0.156976	0.0374871	0.0354561	0.00317397	0.0466946
y	0.00335491	0.00220283	0.0331836	0.825205	0.0209883	0.0948964	0.00713916	0.0130298
a	0.0451246	0.014923	0.104431	0.322397	0.238761	0.11472	0.104385	0.0552588
b	0.0303449	0.00202797	0.0149137	0.255539	0.215976	0.171685	0.213765	0.0957491
o	0.0149789	0.0118891	0.30625	0.281115	0.131561	0.0887183	0.10902	0.0564686
s	0.00210789	0.0115019	0.325478	0.102521	0.163317	0.333145	0.0289832	0.0329465
ó	0.00121656	0.00242222	0.100872	0.0572287	0.208528	0.276149	0.0674984	0.286085
á	0.00300076	0.00173544	0.00689809	0.108993	0.0313138	0.401798	0.107062	0.339199
m	0.00316313	0.00974246	0.00690506	0.0431654	0.0954784	0.47871	0.0711596	0.291676
i	0.000146446	0.00182434	0.00306728	0.0162873	0.0578965	0.201777	0.287186	0.431815
d	0.000118026	0.00919419	0.0210409	0.0114057	0.191374	0.356039	0.0696967	0.341131
z	0.000100958	0.00296908	0.00575559	0.00270626	0.353458	0.250744	0.142989	0.241277
w	0.00030185	0.00258303	0.00172868	0.0043561	0.563273	0.171571	0.0996125	0.156574
á	0.00053526	0.00144142	0.0143301	0.0200885	0.163291	0.322587	0.141596	0.336131
d	0.000552156	0.000380535	0.00146824	0.00886779	0.0198048	0.0707928	0.503954	0.394179
a	0.000217256	0.000145056	0.00163511	0.000338482	0.0128581	0.00865683	0.122299	0.85385
m	0.00048797	0.000266083	0.00662771	0.00378793	0.0165505	0.102227	0.173172	0.69688
a	6.35129e-05	0.000343026	0.00292386	0.0078436	0.00395352	0.0921075	0.484999	0.407766
r	0.00144016	0.000540174	0.00297137	0.0192071	0.00813529	0.0919383	0.170899	0.704868
a	0.00549277	0.00160647	0.00357692	0.00497032	0.0186817	0.0309733	0.237312	0.697386
</S>	0.00121196	0.000173772	0.00114338	0.00387238	0.00479844	0.0435039	0.224144	0.721153
