 	ils	font	une	botte	avec	la	paille	de	riz	</S>
b	0.478676	0.0699884	0.0436629	0.0922269	0.0750208	0.0867992	0.0590885	0.0886984	0.00536308	0.000475406
á	0.628077	0.261992	0.0283705	0.0106397	0.0193087	0.0159431	0.00290962	0.0247461	0.00786091	0.000152153
a	0.823519	0.127845	0.0138579	0.00271038	0.00516008	0.0106993	0.00198805	0.00649535	0.00202974	0.00569564
b	0.292836	0.427208	0.132915	0.0149089	0.0186044	0.0163011	0.00303898	0.00828363	0.00410212	0.081801
á	0.151852	0.719367	0.0338432	0.00876189	0.0227104	0.0181163	0.00300641	0.0274455	0.00485747	0.0100397
a	0.297902	0.235236	0.210709	0.0584965	0.0539421	0.0501746	0.00518465	0.0201728	0.0126586	0.0555242
k	0.0286229	0.349998	0.391752	0.0982351	0.0141406	0.0116133	0.00895411	0.0033828	0.000583245	0.0927183
a	0.0202188	0.545578	0.130224	0.180032	0.023913	0.0176636	0.0605706	0.00341432	0.00135181	0.0170331
n	0.0161054	0.329656	0.185236	0.272749	0.0335952	0.0312733	0.0882947	0.00435173	0.00590167	0.0328359
á	0.0208371	0.332456	0.289292	0.14036	0.0630021	0.0414823	0.0461244	0.00563285	0.00074845	0.0600655
p	0.00356639	0.0204255	0.118659	0.31596	0.285503	0.126301	0.0601756	0.0494092	0.00157042	0.018429
f	0.0010938	0.00413427	0.021953	0.650704	0.0417353	0.0497651	0.200034	0.00891802	0.00295665	0.0187059
ú	0.000166896	0.0040931	0.0343942	0.333077	0.0653497	0.0715779	0.468272	0.00693383	0.000638054	0.0154971
u	8.76119e-05	0.0013627	0.014957	0.152722	0.0880569	0.0574222	0.667473	0.00804261	0.000876099	0.00899982
l	6.01802e-05	0.000425536	0.0175853	0.025281	0.405778	0.275666	0.180638	0.067139	0.00159531	0.0258318
ú	0.000272659	0.00139224	0.033619	0.0188526	0.203732	0.262182	0.143582	0.143543	0.0133454	0.179479
y	0.000257512	0.000760397	0.0204901	0.0077354	0.196086	0.271811	0.163274	0.177119	0.0136046	0.148862
á	0.000764262	0.00291202	0.0418744	0.0243845	0.108981	0.15879	0.23224	0.259809	0.0623571	0.107887
l	0.000405997	0.00149946	0.015563	0.010917	0.0700183	0.189294	0.301095	0.187027	0.12169	0.10249
ώ	0.00133136	0.00263854	0.0121174	0.00263571	0.0233495	0.0502336	0.0468629	0.05748	0.681518	0.121833
s	0.000120685	0.000308146	0.00201504	0.00283323	0.022546	0.0396653	0.101014	0.0711986	0.645745	0.114553
ω	0.000404737	0.0036864	0.0297645	0.0209801	0.062752	0.119262	0.43985	0.110175	0.0456725	0.167453
m	7.66527e-05	0.000324177	0.00381423	0.00238481	0.0466635	0.0865334	0.0826196	0.254625	0.01908	0.503879
í	0.000728768	0.00127585	0.0073296	0.00183344	0.080304	0.0861401	0.0285001	0.617333	0.00233168	0.174224
b	0.000305727	0.00125646	0.00503075	0.0046654	0.0525075	0.143689	0.066153	0.282889	0.0486403	0.394863
o	0.00293397	0.0165552	0.021412	0.0693815	0.100149	0.189067	0.181916	0.123068	0.0397879	0.255729
l	0.00085895	0.00388717	0.0184901	0.0136266	0.0368563	0.0920365	0.42695	0.101342	0.0308698	0.275083
o	0.000857994	0.00934078	0.0180364	0.0465637	0.05352	0.10699	0.18695	0.0918855	0.0693854	0.41647
</S>	0.000895063	0.00290821	0.00830553	0.00777412	0.0256253	0.0433197	0.0769186	0.11017	0.0866776	0.637406
