 	l'	enfant	est	debout	dans	la	rue	</S>
m	0.715928	0.268909	0.00532325	0.00486991	0.00123493	0.0026994	0.000924896	0.000110189
w	0.0326862	0.957223	0.00839386	0.000248717	0.000726651	0.000510554	2.54669e-06	0.000208123
á	0.0013359	0.998591	4.13079e-05	2.28869e-05	3.84529e-06	3.09499e-06	7.15951e-07	1.11005e-06
n	0.0705778	0.928213	0.000834541	0.000106841	8.10364e-05	5.96665e-05	4.09666e-05	8.58509e-05
a	0.183678	0.606151	0.0677275	0.00409239	0.0331903	0.0120659	0.00629328	0.086802
a	0.807047	0.111596	0.0642394	0.00755644	0.00355694	0.00238927	0.000636963	0.00297748
d	0.0193397	0.012526	0.682206	0.19738	0.0430522	0.0129383	0.00575047	0.0268072
í	0.0246682	0.00280214	0.236154	0.0383934	0.393761	0.0371632	0.000684882	0.266372
t	0.02367	0.0019499	0.180079	0.126724	0.384858	0.0863986	0.0043919	0.191929
ε	0.0323923	0.0113439	0.103584	0.606263	0.0800795	0.0672349	0.0506913	0.0484119
ε	0.00341346	0.00135994	0.0963118	0.51748	0.0740818	0.0949411	0.101362	0.11105
s	0.00683531	0.000553869	0.042804	0.0765397	0.360623	0.397625	0.0147514	0.100268
í	0.0227798	0.000512364	0.0460396	0.0578967	0.267079	0.354725	0.0161859	0.234782
l	0.0269663	0.00394718	0.0328524	0.00758437	0.102736	0.187598	0.583791	0.0545246
ω	0.00208757	0.000291751	0.00986455	0.0117341	0.182254	0.184037	0.452595	0.157135
n	0.0036712	0.000409485	0.00650863	0.0125445	0.0578877	0.0682629	0.7843	0.0664158
g	0.00363977	0.000591345	0.00436651	0.00865357	0.0881856	0.266367	0.428578	0.199618
ω	0.0368181	0.0106697	0.0135712	0.0102062	0.0394217	0.24844	0.361513	0.27936
</S>	0.00167623	0.000139053	0.00714455	0.0159273	0.0824093	0.175515	0.0943773	0.622811
