 	le	piège	a	pris	le	cabri	par	le	sabot	</S>
b	0.466833	0.493126	0.0275532	0.000716246	0.00502272	0.00418698	0.00133575	0.000802729	0.000395375	2.75339e-05
ó	0.0956413	0.769413	0.0899754	0.000590184	0.00792664	0.01956	0.01114	0.00495575	7.47088e-05	0.000723095
y	0.170782	0.586093	0.215982	0.00211122	0.0121637	0.00496404	0.00315993	0.00421999	0.000145678	0.000377769
a	0.382216	0.3888	0.124473	0.0219333	0.0183359	0.00477845	0.0147754	0.0127227	0.00890244	0.023063
ó	0.230053	0.16962	0.498829	0.0119538	0.0104843	0.00173516	0.00685169	0.0226032	0.00254218	0.0453281
p	0.0264414	0.0255517	0.480447	0.416552	0.0341206	0.00144269	0.00756675	0.00479885	0.000557084	0.00252224
i	0.00113456	0.00117786	0.00883334	0.978147	0.00576527	0.000148845	0.00173257	0.000242492	0.000668302	0.00214974
i	0.00883013	0.00524649	0.0161484	0.912435	0.0514794	0.000517859	0.00341967	0.000686246	0.000197647	0.00103888
m	0.0803611	0.023869	0.137624	0.048417	0.573822	0.066319	0.045147	0.0136283	0.00146734	0.0093447
b	0.00592851	0.00166069	0.00565337	0.00388411	0.131564	0.748112	0.0344023	0.0395144	0.000310971	0.0289699
o	0.00121016	0.000501537	0.000904215	0.0010038	0.178736	0.794588	0.0153416	0.00473226	8.83171e-05	0.00289389
s	0.0058592	0.00631299	0.00932998	0.113921	0.47774	0.133415	0.181777	0.03863	0.0072784	0.0257357
i	0.0205597	0.0117213	0.0170633	0.0827335	0.355963	0.377471	0.0465821	0.0176772	0.00545059	0.064779
m	0.0316754	0.0128692	0.0645923	0.00899038	0.208315	0.049988	0.403747	0.108998	0.0150623	0.0957618
ó	0.0370192	0.0105482	0.00763734	0.00306671	0.148696	0.0680496	0.234676	0.184289	0.0859035	0.220115
p	0.0103325	0.0020055	0.00325487	0.0026016	0.0588534	0.0212339	0.249165	0.319711	0.291144	0.0416977
a	0.00454263	0.00269116	0.00268918	0.00435113	0.017904	0.00026611	0.0786553	0.0490618	0.808368	0.0314705
l	0.000400524	0.000458215	0.00100241	0.00546294	0.0265878	0.00191757	0.120501	0.174295	0.551122	0.118252
í	0.001904	0.0024814	0.00283892	0.0581146	0.0528845	0.00872211	0.149876	0.22312	0.260737	0.239322
</S>	0.00315762	0.00110297	0.00306233	0.00352285	0.0182443	0.00160525	0.0578059	0.379426	0.318175	0.213898
