 	l'	anse	du	sac	s'	est	coupée	</S>
e	0.851122	0.132289	0.0120974	0.00202971	0.00151206	0.000511742	0.000245362	0.000192768
l	0.0385262	0.930363	0.00544462	0.0145734	0.000499374	0.000819622	0.00903518	0.000738914
ε	0.00745189	0.924525	0.0177038	0.0293546	0.00303829	0.00183158	0.00314139	0.0129533
b	0.0504699	0.814783	0.047671	0.00942662	0.00768098	0.00348572	0.00471465	0.061768
h	0.0526079	0.356978	0.305922	0.0542235	0.0875194	0.0221363	0.0267333	0.0938798
i	0.382601	0.166978	0.253475	0.0711179	0.0581401	0.0050092	0.00715782	0.0555206
r	0.0862985	0.0164544	0.745362	0.051813	0.0567479	0.0065832	0.0023349	0.0344065
i	0.135707	0.023779	0.236822	0.485615	0.0552026	0.00514454	0.00113523	0.0565946
y	0.027031	0.00494064	0.771185	0.0524983	0.117347	0.0106743	0.000968112	0.015355
á	0.110643	0.0060344	0.326431	0.367983	0.126689	0.0239172	0.00181183	0.0364902
p	0.0605161	0.00145116	0.277335	0.535771	0.0897744	0.0175229	0.00685435	0.0107751
ε	0.00245329	0.0014099	0.059024	0.868198	0.0390285	0.0110834	0.0127211	0.00608224
n	0.00654212	0.00697939	0.20466	0.503159	0.159322	0.0224409	0.0232015	0.0736951
g	0.00259098	0.00437372	0.0744432	0.744782	0.131627	0.00904767	0.00642958	0.0267057
ε	0.00461103	0.00224905	0.0210423	0.888363	0.0539102	0.00152339	0.00681245	0.021489
é	0.00329899	0.000296997	0.132193	0.042448	0.666691	0.12877	0.00723173	0.0190705
m	0.00505022	0.00443837	0.0567367	0.0153706	0.178444	0.636558	0.0856752	0.0177273
i	0.0156376	0.000750036	0.0176171	0.00115123	0.155744	0.545834	0.0453629	0.217903
k	0.000460509	0.00212317	0.00275815	0.00302012	0.0166141	0.182022	0.661978	0.131025
y	1.31748e-05	0.00114434	0.000852015	0.00158486	0.00312933	0.024513	0.916528	0.0522357
é	0.00103219	0.00413299	0.00999033	0.0124262	0.0196067	0.0868141	0.761614	0.104384
n	0.000168695	0.000366721	0.00407984	0.00732439	0.0161328	0.0829042	0.721569	0.167454
a	0.000274486	0.00187711	0.00230623	0.0217937	0.0188616	0.0362265	0.688182	0.230478
</S>	0.00570127	0.00128529	0.0380789	0.0109548	0.107391	0.0833515	0.130127	0.62311
