 	il	est	brimé	par	son	chef	</S>
o	0.340159	0.114239	0.24015	0.178194	0.0867756	0.032693	0.00778944
k	0.0156383	0.0351427	0.384273	0.0448445	0.0427347	0.427219	0.050148
o	0.00570774	0.00419432	0.250512	0.0389144	0.0222286	0.639507	0.0389357
n	0.00813736	0.00844431	0.212887	0.121206	0.0662161	0.523218	0.0598908
d	0.157767	0.108988	0.336565	0.0292466	0.0246557	0.306666	0.0361119
z	0.150485	0.112909	0.312014	0.0341519	0.0140761	0.311706	0.0646578
i	0.115124	0.0279706	0.305115	0.0409057	0.0271313	0.397158	0.0865962
á	0.103803	0.229773	0.0399432	0.282463	0.270291	0.00907823	0.0646494
k	0.061818	0.105787	0.0279149	0.180949	0.29596	0.149651	0.17792
y	0.0240543	0.0527125	0.0718999	0.200252	0.409594	0.0940368	0.14745
e	0.119897	0.101276	0.0932164	0.0974579	0.161623	0.355709	0.0708208
w	0.0149387	0.0469134	0.0574745	0.275882	0.301575	0.166643	0.136574
á	0.0441961	0.0436475	0.0763663	0.234367	0.316028	0.112165	0.17323
o	0.027671	0.0451396	0.0144967	0.143147	0.230335	0.0281498	0.511061
b	0.0116271	0.0256892	0.0208859	0.0313237	0.0954927	0.439549	0.375432
e	0.0139071	0.0376526	0.0497237	0.162041	0.187315	0.331744	0.217617
</S>	0.000902706	0.00776037	0.0124105	0.0412283	0.0291739	0.0399288	0.868595
