 	elle	berce	son	bébé	</S>
w	0.975227	0.00377223	0.0198175	0.000936633	0.000246369
a	0.894826	0.00142967	0.0815013	0.0219031	0.000339623
l	0.448016	0.381048	0.129263	0.00797551	0.0336986
á	0.265098	0.0973012	0.176913	0.064493	0.396194
a	0.524429	0.0981557	0.152959	0.112773	0.111683
k	0.0269363	0.942079	0.00956783	0.00631456	0.0151024
ώ	0.00196104	0.987982	0.00289873	0.000502042	0.00665637
n	0.0269794	0.883507	0.0534814	0.00503272	0.0309995
g	0.116835	0.808107	0.0443728	0.00372238	0.0269623
ώ	0.469121	0.257937	0.173676	0.0244944	0.0747716
s	0.0267894	0.0400941	0.82149	0.0952417	0.0163849
ώ	0.00529212	0.217588	0.344386	0.240249	0.192485
m	0.00817565	0.00916745	0.241056	0.691142	0.0504595
w	0.0060784	0.00604352	0.0590847	0.608728	0.320065
á	0.00384172	0.000854047	0.00186598	0.990119	0.00331887
n	0.0615272	0.0051552	0.21814	0.615558	0.0996195
a	0.0321164	0.0168972	0.145473	0.647915	0.157599
</S>	0.015606	0.0837237	0.229617	0.105322	0.565731
