 	le	terrier	du	blaireau	que	nous	avons	suivi	était	déjà	abandonné	</S>
k	0.549043	0.327168	0.0532496	0.0305125	0.0177828	0.00967735	0.00788129	0.00162506	0.00161955	0.000868629	0.000356084	0.000216477
ó	0.0431183	0.64287	0.0616475	0.224996	0.00305894	0.0038552	0.00133777	0.00181302	0.00212541	0.00160897	0.0106133	0.00295587
l	0.00382256	0.107215	0.119401	0.698725	0.0159449	0.00989833	0.00275264	0.0200316	0.00792509	0.00223155	0.00689563	0.00515662
ó	0.0366506	0.251483	0.351156	0.257834	0.029248	0.0117068	0.00633004	0.0139467	0.00708722	0.00263181	0.0181431	0.0137825
y	0.186614	0.163575	0.448373	0.0660775	0.062456	0.0262741	0.0183152	0.00823854	0.00251308	0.00780906	0.00409775	0.00565735
e	0.161438	0.040542	0.335484	0.162119	0.18357	0.0196052	0.0179003	0.0262636	0.012392	0.0128069	0.00509164	0.0227863
e	0.246098	0.0111979	0.266251	0.0441192	0.261125	0.0802028	0.0494593	0.0112885	0.00929279	0.00631158	0.00162229	0.0130321
t	0.0126297	0.0249282	0.028104	0.076922	0.120614	0.0788267	0.165141	0.205681	0.0772887	0.0328172	0.0453918	0.131656
í	0.00383217	0.0078146	0.0253921	0.0200517	0.0565112	0.0240214	0.0495738	0.56983	0.103348	0.0224492	0.0341491	0.0830267
m	0.0170266	0.00390647	0.0512257	0.00880135	0.0385677	0.0340687	0.0496856	0.594207	0.0902997	0.0135128	0.0190226	0.0796756
í	0.0825614	0.00256899	0.081755	0.00799128	0.199673	0.0660256	0.246232	0.165576	0.0876816	0.00872746	0.0023204	0.0488873
b	0.00471708	0.000634771	0.0289967	0.0030473	0.163718	0.244131	0.336944	0.170222	0.0231539	0.00459906	0.00144469	0.0183911
í	0.0137147	0.00608684	0.00626118	0.00499718	0.0467422	0.5138	0.350634	0.0367736	0.0123527	0.00294244	0.000606704	0.00508765
s	0.00516621	0.00525039	0.0118851	0.00986631	0.0277751	0.806532	0.0837939	0.0169292	0.0135447	0.00168647	0.0020004	0.0155701
í	0.0198922	0.00519703	0.0122675	0.0045942	0.0788813	0.462104	0.205915	0.0741195	0.0707299	0.0116423	0.00148714	0.0531692
á	0.00562028	0.00413192	0.0226954	0.00507435	0.0463649	0.155942	0.119498	0.262456	0.215938	0.0691955	0.0266403	0.0664439
d	0.00168914	0.00584795	0.0079963	0.00282663	0.00951571	0.033987	0.0354546	0.169803	0.446141	0.222124	0.0358793	0.028735
z	0.000998094	0.000116246	0.00114505	2.89075e-05	0.00270972	0.016107	0.0466613	0.446208	0.369376	0.0604659	0.00701609	0.0491681
e	0.0019628	6.93782e-05	0.00106514	9.03672e-06	0.00123792	0.00214731	0.0156386	0.110253	0.844248	0.0156945	0.00100083	0.00667365
e	0.00423493	0.000258019	0.00693634	0.000241818	0.0252451	0.0880961	0.031559	0.182336	0.149997	0.401963	0.0534426	0.0556896
k	0.0024008	0.00430265	0.00221332	0.0025658	0.00289837	0.0142568	0.0163121	0.100037	0.328152	0.136303	0.273752	0.116807
a	0.000171649	0.00170861	0.000926852	0.00291195	0.00107169	0.00411308	0.000829906	0.0333796	0.089716	0.042665	0.674335	0.14817
a	0.000899587	0.00128368	0.00417651	0.0144712	0.00210235	0.0163632	0.00405443	0.15476	0.22381	0.0448701	0.318754	0.214456
m	0.000548453	0.00011453	0.00289924	0.000272295	0.00459252	0.00366954	0.0020925	0.0135165	0.0715092	0.269007	0.362787	0.268992
i	0.00906599	0.00236055	0.0323085	0.00591673	0.0438728	0.0103557	0.010591	0.0316454	0.105112	0.152427	0.127502	0.468843
</S>	0.00115618	0.00090759	0.00503677	0.000736034	0.00255492	0.00291818	0.00366834	0.00838092	0.0388106	0.1332	0.357667	0.444964
