 	tout	le	bois	de	chauffe	que	j'	ai	acheté	est	déjà	rongé	par	les	termites	</S>
k	0.295039	0.197349	0.187956	0.131846	0.0990059	0.058671	0.00941432	0.00548979	6.68615e-05	0.006828	0.00131238	0.00271281	0.00132744	0.00250174	0.000192155	0.00028669
ó	0.080451	0.246131	0.0997015	0.119881	0.405098	0.00832273	0.0025897	0.00447758	0.00105824	0.00469568	0.00475347	0.0013912	0.00323402	0.00845046	0.0084436	0.00132155
n	0.036274	0.251243	0.145601	0.156006	0.277481	0.0422866	0.0164622	0.00828342	0.00408711	0.0187045	0.0141399	0.0150839	0.00600728	0.00193581	0.00245204	0.00395192
y	0.120524	0.259507	0.116135	0.237825	0.151958	0.0257278	0.0174827	0.0117144	0.00230133	0.0074501	0.00505645	0.00546668	0.00572781	0.00578676	0.00537882	0.0219592
i	0.145133	0.28527	0.0779843	0.150478	0.171479	0.0160121	0.00156816	0.00149003	0.00127743	0.011919	0.00461727	0.00980684	0.0132399	0.00983485	0.0204729	0.0794174
y	0.121376	0.114561	0.357055	0.188774	0.057472	0.0916274	0.0219819	0.0191763	0.00179867	0.00970901	0.00297967	0.0010673	0.00476519	0.00202642	0.000190384	0.00543989
é	0.0796536	0.0461664	0.108085	0.212547	0.114658	0.220803	0.0372214	0.0385338	0.00928657	0.0240394	0.011301	0.00701569	0.015436	0.0182571	0.0114447	0.0455506
é	0.0154524	0.00644211	0.0392084	0.0947175	0.0657728	0.275458	0.217032	0.0908732	0.078881	0.026647	0.0149096	0.00363768	0.0178393	0.0169411	0.0125983	0.0235896
s	0.00321667	0.0148162	0.0143544	0.0150743	0.0175225	0.0301942	0.0210589	0.0375585	0.73649	0.0351946	0.0443271	0.00847552	0.00897164	0.00276173	0.00366148	0.00632248
ó	0.000384461	0.00234238	0.0082158	0.0229332	0.00740361	0.0195085	0.00738568	0.0242902	0.844375	0.0106164	0.0258478	0.00166412	0.00613741	0.002609	0.00249927	0.0137873
m	0.00203826	0.00456766	0.038445	0.0777821	0.0756569	0.0747068	0.00874172	0.0163694	0.411973	0.067676	0.060819	0.0272589	0.0327114	0.0176782	0.0118076	0.0717677
b	0.00315661	0.00559976	0.0228069	0.0734906	0.0210082	0.185261	0.0919485	0.0753773	0.306564	0.100461	0.063443	0.0218599	0.0106105	0.00546228	0.0061624	0.00678813
í	0.0524354	0.0589468	0.117912	0.147579	0.126357	0.111935	0.0397805	0.0450386	0.0264076	0.0746554	0.0400522	0.0702795	0.0208762	0.0108257	0.00685232	0.0500663
n	0.00221313	0.000773171	0.00608119	0.00528352	0.000874608	0.104775	0.385571	0.249693	0.00985143	0.168702	0.0436173	0.0036271	0.00797688	0.00773218	0.000917479	0.00231049
g	0.000858583	0.0014551	0.00184418	0.00597381	0.00341992	0.0360133	0.434692	0.412509	0.0329315	0.0235766	0.0131249	0.00117817	0.00567989	0.00466392	0.00764477	0.0144337
á	0.000224958	0.000640333	0.00130075	0.0043988	0.00492078	0.027687	0.405093	0.22918	0.201229	0.033934	0.0233423	0.00280132	0.0133906	0.00401197	0.0348026	0.0130421
é	0.00354322	0.00136565	0.0103515	0.00732392	0.00388456	0.08949	0.122538	0.107482	0.0124586	0.414332	0.0967259	0.0386316	0.0415989	0.034961	0.00468999	0.0106232
t	0.00314966	0.0113051	0.0269129	0.0119499	0.00611583	0.0088236	0.00637408	0.0166138	0.0346126	0.216531	0.372693	0.171202	0.0666583	0.0277654	0.00660247	0.0126916
s	0.000477831	0.00219732	0.00780202	0.00639249	0.00273	0.00207043	0.0013174	0.00594675	0.00358574	0.0522411	0.140438	0.607819	0.0731998	0.0466407	0.0204025	0.0267393
ω	0.000807153	0.00194458	0.00710034	0.00767155	0.00235984	0.00570326	0.00403651	0.0109696	0.00247742	0.0634416	0.106664	0.548415	0.092373	0.0847808	0.0199664	0.0412889
é	0.000432811	0.000823546	0.00448715	0.00250472	0.000644177	0.00849619	0.0100613	0.0125251	0.00282014	0.097345	0.164951	0.12371	0.315713	0.149555	0.0176826	0.0882482
d	0.00159913	0.00252565	0.0120192	0.00285058	0.00230864	0.00243097	0.00230377	0.00624647	0.00436773	0.094826	0.170836	0.0870596	0.280912	0.190295	0.0316069	0.107813
z	0.000270902	0.00142841	0.00444437	0.00282418	0.000143704	0.00086506	0.000519286	0.00149883	0.000467033	0.0199768	0.0699737	0.018359	0.11102	0.0896996	0.0138961	0.664613
