 	sur	cette	bande	de	terrain	il	a	fait	une	belle	plantation	</S>
m	0.458029	0.162801	0.0843913	0.0758313	0.103044	0.0640145	0.00364174	0.00892098	0.0118251	0.0236828	0.00210769	0.00170986
ó	0.158765	0.314395	0.158069	0.109549	0.0137824	0.0200324	0.0113205	0.0176833	0.0470142	0.0625566	0.025831	0.0610015
e	0.284696	0.502815	0.155433	0.0159688	0.0251897	0.00176001	0.000862324	0.000752005	0.00104272	0.00143257	0.00441251	0.00563545
k	0.0381526	0.0691541	0.537113	0.09277	0.0683427	0.0158616	0.0268653	0.0245889	0.0140828	0.00372403	0.00129703	0.108047
y	0.0349998	0.0193128	0.381125	0.12989	0.0434444	0.0189786	0.0296738	0.105583	0.049609	0.0222204	0.00454376	0.160619
é	0.0108505	0.0365605	0.461451	0.0371953	0.0394158	0.00331205	0.034002	0.1572	0.127476	0.0335089	0.0234342	0.0355939
n	0.0151239	0.0327746	0.344921	0.169818	0.203076	0.0237236	0.0339369	0.0499985	0.0297471	0.0421642	0.00312368	0.0515927
i	0.0667544	0.0950418	0.171518	0.223119	0.137307	0.0945419	0.0138138	0.0335246	0.0283872	0.0165561	0.00501922	0.114416
y	0.0284972	0.0413053	0.0394631	0.291226	0.159517	0.324711	0.0415649	0.0288517	0.0128673	0.0253647	0.000898745	0.00573289
é	0.109354	0.109246	0.126026	0.282052	0.0614169	0.119592	0.0752273	0.0297989	0.0153926	0.0125972	0.00555644	0.0537399
w	0.0540633	0.0195708	0.0355912	0.2718	0.186945	0.272604	0.0676618	0.0192346	0.00752423	0.0141239	0.0165642	0.0343179
a	0.00899896	0.0114812	0.0411218	0.183264	0.150273	0.0865045	0.14547	0.153675	0.059383	0.0598629	0.0109054	0.0890604
á	0.00106915	0.00142247	0.0112824	0.106621	0.0415475	0.467052	0.194712	0.0752769	0.0239454	0.0225093	0.00149095	0.0530706
k	0.00120851	0.00132625	0.0103715	0.00455202	0.00498166	0.00531553	0.205064	0.357925	0.327964	0.0356909	0.0157413	0.0298587
y	0.000218895	0.000156404	0.0078812	0.00585554	0.0063687	0.0038251	0.210402	0.44472	0.251878	0.032092	0.00674763	0.0298539
e	0.00186548	0.000624285	0.00884008	0.0197667	0.0285455	0.0126344	0.211188	0.351996	0.243619	0.0457111	0.0389063	0.036303
n	0.000580356	0.000756476	0.00501115	0.0292789	0.0267281	0.0525659	0.13436	0.184397	0.224267	0.190508	0.0367043	0.114843
g	0.00164402	0.00323633	0.00319862	0.0177544	0.00270206	0.023889	0.0123553	0.069978	0.233456	0.1789	0.3218	0.131086
o	0.00124344	0.00477681	0.00416758	0.00675506	0.00086074	0.00353886	0.00659662	0.0173238	0.0745166	0.0348341	0.775374	0.0700127
n	0.000197504	0.00125361	0.00228084	0.00280262	0.000211834	0.000633063	0.0032779	0.0149235	0.0643347	0.0785429	0.615111	0.21643
d	0.0021848	0.00603735	0.00528011	0.00303773	7.60818e-05	0.00124135	0.00248415	0.0160368	0.104982	0.0575013	0.116207	0.684931
a	0.000331382	0.00205672	0.00105775	0.000424581	3.39083e-05	0.000232868	0.00048433	0.00413156	0.0257892	0.0148416	0.48729	0.463326
m	0.000905135	0.00287364	0.00524912	0.0133928	0.000469509	0.0110772	0.01031	0.039081	0.141346	0.138286	0.0859613	0.551048
b	0.0310029	0.013199	0.00221343	0.008089	0.000104232	0.00204597	0.00108023	0.00703215	0.102201	0.703989	0.00570462	0.123338
v	0.0625669	0.0128298	0.00602553	0.0052246	2.95187e-05	0.00056646	0.00104219	0.0195313	0.0787575	0.495238	0.0222168	0.295971
έ	0.00331251	0.00268751	0.00400517	0.00246541	4.58345e-05	0.000226919	0.00118686	0.0223422	0.1263	0.306255	0.0892497	0.441923
</S>	0.000254848	0.000160937	0.00072034	0.00177926	8.8312e-05	0.00129152	0.00234407	0.0238047	0.114326	0.141623	0.0264137	0.687193
