 	tu	as	mal	fabriqué	la	chaise	</S>
n	0.916741	0.0508557	0.0169553	0.00320389	0.00766841	0.00178536	0.00278983
ω	0.951033	0.0386624	0.00744122	0.000335112	0.00153934	0.000580831	0.000407918
ó	0.307023	0.245196	0.385674	0.028186	0.0120135	0.0145883	0.00731995
b	0.00137948	0.0159785	0.497938	0.379575	0.0270694	0.013732	0.064328
ω	8.14096e-05	0.0016138	0.0490368	0.782314	0.0756391	0.0058493	0.0854656
n	0.00061166	0.00326578	0.077956	0.819217	0.0591171	0.0206326	0.0192003
g	0.0233832	0.0551397	0.111175	0.337263	0.217283	0.107467	0.148289
i	0.128015	0.123969	0.241502	0.234795	0.200423	0.0360298	0.0352672
k	0.0140079	0.0962942	0.0548387	0.0497495	0.53005	0.172765	0.0822944
í	0.00232547	0.00599571	0.0158811	0.0663655	0.215622	0.600436	0.0933741
t	0.00210648	0.0173448	0.0171541	0.114709	0.0801627	0.659036	0.109487
i	0.00102387	0.00248967	0.011983	0.0812572	0.196095	0.413494	0.293658
l	0.000309631	0.00287172	0.0275507	0.0794646	0.281453	0.223085	0.385265
i	0.00018423	0.000860649	0.00816976	0.059999	0.107601	0.534255	0.288931
n	0.000468144	0.0019183	0.0141301	0.0229195	0.250378	0.268459	0.441727
g	0.00132546	0.00614304	0.0148527	0.011835	0.0892131	0.621076	0.255555
o	0.0020376	0.00559211	0.00586251	0.00584489	0.0595486	0.655877	0.265238
n	0.000144117	0.000732456	0.00359754	0.00894339	0.0383698	0.656125	0.292088
y	0.00213662	0.0020764	0.00392853	0.00453296	0.0293601	0.0726522	0.885313
á	0.000187462	0.000158789	0.000461012	0.00110623	0.0194327	0.0674284	0.911225
</S>	6.04663e-05	0.000365124	0.0016187	0.00277377	0.0922551	0.102634	0.800293
