 	donne-moi	encore	de	l'	eau	</S>
b	0.888408	0.0950122	0.0059215	0.00831226	0.00179648	0.000549114
v	0.603805	0.17948	0.0416041	0.104407	0.0673409	0.00336256
ú	0.639228	0.167967	0.138699	0.0392323	0.0108911	0.0039823
r	0.292621	0.109429	0.301056	0.0858356	0.0183238	0.192736
á	0.908529	0.0243755	0.0231005	0.0106939	0.00682335	0.0264779
o	0.114977	0.424039	0.242583	0.157192	0.00889224	0.0523171
p	0.00762698	0.10477	0.836213	0.0353793	0.00333096	0.0126798
ε	0.00237563	0.0279008	0.923753	0.0132323	0.00210704	0.0306308
n	0.204304	0.141598	0.316542	0.0844789	0.015531	0.237546
g	0.337668	0.135833	0.313614	0.136628	0.0295368	0.04672
á	0.839288	0.0214308	0.0259064	0.0629412	0.0334993	0.016934
m	0.00524588	0.00776874	0.0793929	0.54072	0.320362	0.0465106
á	0.000469894	0.00125045	0.0077255	0.0243266	0.858009	0.108218
a	0.00355315	0.00797061	0.0104051	0.0612103	0.89753	0.0193304
</S>	0.00272199	0.0109361	0.0653764	0.138958	0.492856	0.289152
