 	cet	enfant	ne	veut	pas	travailler	c'	est	un	paresseux	</S>
m	0.746722	0.23923	0.00125108	0.00225813	0.00387305	0.00085239	0.00214796	0.00064106	0.000831394	0.00205313	0.000139995
w	0.051503	0.942749	0.00439754	0.00029946	0.000108618	0.000224763	0.000108295	0.000150757	0.000196201	2.30966e-05	0.000239198
á	0.00218973	0.997618	5.85401e-05	4.14708e-05	3.71274e-05	2.70554e-05	8.0375e-06	4.58396e-06	8.22902e-06	3.5737e-06	3.80712e-06
n	0.0605414	0.936649	0.000472114	9.7107e-05	0.000104494	0.000121523	0.000216311	0.000145904	0.000163265	1.37023e-05	0.00147505
a	0.175878	0.330221	0.11252	0.0141887	0.00949028	0.0548956	0.03157	0.0241594	0.0215824	0.000619557	0.224875
w	0.803783	0.0591382	0.0263641	0.00994585	0.0127814	0.0132681	0.0214302	0.0145783	0.0189315	0.000723044	0.0190557
ó	0.218814	0.0406902	0.123922	0.0864279	0.0867671	0.0508734	0.10972	0.0771367	0.079433	0.0554394	0.0707757
a	0.0567271	0.0131793	0.355652	0.0887241	0.0647695	0.0757397	0.0887097	0.0438163	0.0535779	0.00165825	0.157446
d	0.00960513	0.00270791	0.467274	0.316628	0.032397	0.017357	0.0192442	0.0476159	0.0256466	0.00201852	0.0595066
i	0.0428985	0.00220996	0.377788	0.30192	0.0426354	0.105618	0.0213004	0.022413	0.00809501	0.000163101	0.0749589
p	0.0220986	0.00141378	0.202325	0.425137	0.182194	0.0416462	0.0273252	0.0359779	0.0286506	0.000712607	0.0325189
ó	0.00208574	0.00388446	0.0623882	0.784455	0.0750048	0.0126743	0.00803089	0.018194	0.00823642	0.00549941	0.0195466
s	0.000327711	0.000268377	0.0853804	0.661945	0.11914	0.0523565	0.0220112	0.0199629	0.0126935	0.00148477	0.0244296
á	0.00182189	1.68147e-05	0.0183639	0.547958	0.286334	0.0405209	0.0356825	0.0271018	0.0195184	0.00576214	0.0169192
o	0.00945283	0.0026651	0.0390783	0.0718261	0.422884	0.316408	0.101531	0.019519	0.0109519	0.00201952	0.00366459
s	0.0013374	0.000317882	0.017142	0.36658	0.348231	0.170343	0.0348409	0.0271934	0.00976701	0.0174273	0.00682071
á	0.0121725	0.00103662	0.0636107	0.3278	0.142958	0.369781	0.00986247	0.0175462	0.0205661	0.0127339	0.0219324
l	0.0102528	0.000387575	0.0450215	0.100583	0.140352	0.312892	0.0373029	0.0347738	0.0358512	0.00169833	0.280886
a	0.000484119	5.36689e-05	0.0676147	0.137576	0.2002	0.283526	0.0749006	0.0594413	0.0446947	0.00380655	0.127702
k	0.000960118	7.87255e-05	0.0368689	0.0302064	0.145903	0.380842	0.227687	0.0975331	0.0521346	0.00358061	0.0242055
a	0.00144222	0.000185013	0.0135262	0.0667237	0.292283	0.094113	0.191128	0.204919	0.0582421	0.0234586	0.0539787
á	0.000409723	0.000538678	0.00889791	0.0491447	0.0911624	0.134161	0.164947	0.240889	0.0708518	0.047784	0.191215
w	0.000289595	2.57255e-05	0.0173185	0.0058272	0.0163518	0.122956	0.235612	0.247787	0.156826	0.014946	0.18206
a	0.000719305	3.58806e-05	0.0202475	0.0386302	0.0818129	0.0562005	0.110647	0.168536	0.22217	0.174355	0.126647
a	0.000243272	2.81806e-05	0.00525359	0.00544331	0.0275485	0.0911462	0.133486	0.191678	0.33198	0.0669052	0.146288
d	0.000446404	2.32175e-05	0.0253634	0.0270549	0.0229704	0.0413164	0.0664278	0.179703	0.447819	0.0786493	0.110226
í	0.000539807	1.49533e-05	0.00690252	0.00602592	0.00933789	0.0878485	0.0647737	0.220648	0.198607	0.0140313	0.391271
e	0.00112779	5.52365e-05	0.00443693	0.00293877	0.0164948	0.0609464	0.089492	0.214558	0.332318	0.0255553	0.252077
b	0.000630897	0.000195828	0.00338638	0.0100321	0.00773309	0.00937163	0.0124322	0.0585113	0.244952	0.405496	0.247259
ω	0.000178803	0.000356138	0.00553237	0.0107536	0.0093665	0.00564442	0.00665537	0.0420876	0.0965178	0.775767	0.0471406
l	6.20274e-06	4.79273e-06	7.03286e-05	0.000411787	0.00107796	0.000588901	0.00111512	0.00371782	0.0154197	0.958673	0.0189143
ω	0.000155233	1.7121e-05	0.00187611	0.0078312	0.0117697	0.0107336	0.0299816	0.0590412	0.103533	0.590106	0.184955
</S>	0.00560709	0.000158296	0.00337796	0.00368431	0.0139012	0.0179819	0.0360688	0.0440057	0.269146	0.146084	0.459984
