 	la	mère	enfonçait	son	doigt	dans	la	bouche	de	l'	enfant	pour	le	faire	vomir	</S>
n	0.888296	0.0673714	0.0206207	0.00418043	0.00112342	0.00493766	0.00387181	0.00163869	0.00203987	0.00316369	0.0012432	0.000713572	0.000511302	0.000247652	9.02845e-06	3.17984e-05
g	0.0532938	0.94606	0.000130435	0.000181187	8.20905e-05	5.88874e-05	1.86265e-05	0.000124658	1.55452e-05	2.19255e-05	5.82895e-06	2.04293e-06	2.55906e-06	1.77146e-06	1.54668e-07	5.93548e-07
ó	0.00749367	0.991854	0.000112317	0.000102671	6.44164e-05	1.97929e-05	1.65684e-05	0.000256409	9.81343e-06	3.12186e-05	2.878e-05	2.21371e-06	3.68269e-06	1.82488e-06	1.35775e-06	1.50292e-06
o	0.00657448	0.989749	0.00113771	0.000422864	0.00027327	6.3876e-05	9.23738e-05	0.00122275	6.43891e-05	0.000230763	9.97059e-05	9.77744e-06	1.17619e-05	1.07062e-05	1.23298e-05	2.46624e-05
á	0.658203	0.0411796	0.0271431	0.0491855	0.0231178	0.0270684	0.018929	0.0149697	0.0313228	0.0157323	0.030227	0.019284	0.013965	0.0179482	0.00262405	0.00910025
d	0.100553	0.0651093	0.550875	0.0521197	0.0543177	0.019383	0.00928665	0.00590802	0.0133127	0.00640861	0.00340895	0.0118494	0.0115568	0.0141695	0.0197241	0.0620165
z	0.0329651	0.000588764	0.484316	0.04673	0.111859	0.0297772	0.0147327	0.0100623	0.0201977	0.00997759	0.0045114	0.0102518	0.0122868	0.0103781	0.0142245	0.187142
e	0.572564	0.00104598	0.125166	0.141829	0.0590509	0.0222674	0.00950439	0.00756161	0.0117837	0.00891376	0.0195822	0.00492079	0.00458622	0.00232263	0.00291047	0.00599126
l	0.158438	0.00104323	0.265708	0.0742896	0.0687308	0.0490204	0.027904	0.0172667	0.0462164	0.0292735	0.0164774	0.0255916	0.0338893	0.0323296	0.0194589	0.134362
á	0.0152027	0.000225176	0.231915	0.102025	0.0473128	0.046874	0.036432	0.0249558	0.0461069	0.0355925	0.0214888	0.0428575	0.0529554	0.0564699	0.0120216	0.227565
a	0.101491	0.00224395	0.32358	0.0952585	0.0544591	0.0435477	0.0378359	0.0392798	0.039159	0.0333729	0.0619922	0.0230391	0.0228535	0.0273706	0.00666979	0.0878473
k	0.00146135	0.00108978	0.860705	0.0639701	0.0277522	0.00502454	0.00337512	0.00422875	0.00396092	0.00265984	0.00314789	0.00460184	0.00374684	0.00248389	0.00224689	0.00954478
a	4.35769e-05	6.92905e-06	0.979203	0.00744866	0.00182247	0.00091611	0.00105125	0.000887655	0.00129314	0.00102517	0.000254387	0.00164176	0.00158722	0.000595058	0.000133678	0.00208972
n	0.000158682	3.56566e-05	0.883288	0.0307576	0.00698212	0.00787518	0.00564376	0.00302559	0.00740423	0.00628625	0.00158208	0.00490049	0.00779317	0.00451929	0.00100314	0.0287449
