 	mon	époux	est	un	danseur	de	kyebé-kyebé	</S>
o	0.878507	0.0284173	0.0271274	0.0386752	0.00820017	0.00976022	0.0071417	0.00217147
l	0.00620306	0.991443	0.00132568	0.000175396	0.000271039	0.000155207	0.000225236	0.00020176
ó	0.00129184	0.968514	0.00688362	0.00806773	0.00995327	0.000378023	0.0004551	0.00445634
m	0.000223286	0.990809	0.00146989	0.000756834	0.00350167	0.000147157	0.000120733	0.00297132
i	0.077574	0.655003	0.102651	0.0340727	0.0495803	0.019218	0.0112042	0.050697
y	0.704571	0.109706	0.0921337	0.0283836	0.00728673	0.0166519	0.00547661	0.0357905
a	0.715726	0.0704249	0.0375224	0.0363167	0.0325374	0.0328353	0.00354968	0.0710878
n	0.940776	0.0136297	0.0170293	0.0109136	0.00565309	0.00371271	0.000331527	0.00795391
g	0.99254	0.00298012	0.00129467	0.00130995	0.000933922	0.000443957	6.83454e-05	0.000429252
á	0.689116	0.124571	0.0473293	0.0540073	0.0668455	0.00481374	0.00188901	0.0114282
a	0.097025	0.00976165	0.491708	0.2819	0.0499733	0.0359237	0.00834033	0.025368
d	0.0430119	0.0565294	0.489744	0.268209	0.0499932	0.0277542	0.0128136	0.0519446
i	0.0467309	0.014613	0.320134	0.179761	0.055512	0.0808578	0.00495209	0.29744
t	0.0379828	0.00891833	0.254804	0.362056	0.112352	0.104808	0.0616649	0.0574144
s	0.027737	0.00148653	0.0471071	0.377531	0.0733316	0.186842	0.149903	0.136062
w	0.00156969	0.00293445	0.0246651	0.45115	0.128409	0.202844	0.127064	0.0613643
á	0.00682558	0.00492962	0.0268215	0.243205	0.0863679	0.214524	0.147274	0.270052
a	0.030898	0.000979619	0.0373943	0.158489	0.121465	0.205145	0.114188	0.331441
m	0.00661275	0.000844004	0.0448876	0.116732	0.128913	0.482283	0.0977113	0.122016
b	0.00139247	0.00114965	0.028351	0.0482328	0.595046	0.182316	0.0191283	0.124384
o	0.000151075	0.000207628	0.0111769	0.0813311	0.774338	0.0945831	0.0192136	0.018999
n	0.000275061	0.00645245	0.0519204	0.118495	0.54883	0.112987	0.077374	0.0836662
d	0.00219574	0.0761026	0.0819782	0.12036	0.435206	0.128789	0.0520621	0.103306
z	0.00584282	0.0132942	0.0291364	0.110076	0.433973	0.176234	0.108535	0.122909
i	0.00719209	0.00774337	0.0244327	0.147261	0.216122	0.189423	0.204502	0.203324
y	0.00763153	0.00153019	0.0237566	0.0455753	0.0914729	0.405975	0.114598	0.30946
a	0.0160416	0.0100755	0.0239432	0.0364697	0.0654393	0.501464	0.210321	0.136246
k	0.010481	0.0289948	0.0108542	0.0207996	0.0158396	0.404907	0.256053	0.252071
y	0.000424664	0.00156559	0.00164316	0.00474493	0.00258042	0.0499104	0.812748	0.126383
e	0.000613941	0.00126814	0.000726902	0.00605466	0.00221634	0.0759738	0.831575	0.0815711
b	0.000443294	0.000336328	0.00124179	0.00338737	0.00242755	0.117793	0.53481	0.33956
h	0.000313232	0.000383202	0.000976529	0.0042816	0.00202928	0.0836448	0.715407	0.192964
é	0.00176848	0.000295446	0.00172856	0.00697061	0.00920627	0.170989	0.54959	0.259452
</S>	0.00432878	0.000554938	0.00933038	0.012422	0.00423817	0.0806106	0.164391	0.724124
