 	cette	plaie	me	brûle	beaucoup	</S>
p	0.437186	0.540272	0.0182931	0.0030711	0.00111037	6.73986e-05
ó	0.0533268	0.936542	0.00370365	0.00360638	0.00247467	0.000346654
r	0.0042685	0.953492	0.00686348	0.013049	0.00347699	0.0188501
á	0.0721332	0.860726	0.0221573	0.022548	0.00407972	0.0183558
y	0.405195	0.383942	0.169735	0.0142572	0.00403229	0.0228383
é	0.453741	0.31966	0.152081	0.0148971	0.0247116	0.0349088
y	0.244952	0.0732659	0.49403	0.0636809	0.0553936	0.0686782
é	0.364599	0.054117	0.44633	0.0437197	0.051333	0.0399013
e	0.127032	0.0431968	0.339355	0.147499	0.213454	0.129463
b	0.00900083	0.00766357	0.0937024	0.669454	0.0693837	0.150796
a	0.00282678	0.00331538	0.00989364	0.923332	0.011126	0.0495066
b	0.00251284	0.00188331	0.00662292	0.859097	0.00719674	0.122687
h	0.0849794	0.0142639	0.0206981	0.582078	0.048725	0.249256
í	0.0095949	0.00742764	0.0413069	0.350457	0.131669	0.459544
l	0.0249595	0.00949198	0.221285	0.112238	0.250743	0.381283
á	0.00553487	0.016498	0.0361038	0.0535584	0.468925	0.41938
l	0.0206114	0.0046754	0.0607786	0.0138349	0.768529	0.131571
a	0.0106821	0.00967772	0.0262189	0.0120482	0.735585	0.205788
n	0.0165284	0.00364447	0.0223617	0.0153693	0.777722	0.164374
g	0.0243649	0.00770077	0.0638607	0.0251944	0.588674	0.290205
á	0.00733457	0.0109316	0.173991	0.0161492	0.421378	0.370215
</S>	0.0102652	0.00154499	0.0140186	0.0391006	0.412484	0.522587
