 	cette	femme	stérile	désire	ardemment	avoir	un	enfant	</S>
o	0.91756	0.0464954	0.0157648	0.0161169	0.001256	0.000114528	0.0024977	0.000114513	7.97785e-05
y	0.362121	0.59666	0.0150337	0.0235978	0.00130075	0.000338973	0.000242171	0.000316088	0.000388758
ú	0.550289	0.103508	0.00863508	0.333516	0.00240739	0.000257684	0.000718105	0.000376762	0.000291944
r	0.786016	0.0542728	0.0403366	0.101372	0.00339455	0.0022962	0.00150202	0.000495037	0.0103152
u	0.693647	0.104259	0.0779695	0.0989403	0.0121725	0.00235986	0.00172277	0.00388681	0.00504238
y	0.160728	0.189976	0.248973	0.208852	0.0455123	0.065053	0.0138421	0.00529654	0.061766
e	0.154971	0.0492264	0.054387	0.680943	0.0263308	0.00894675	0.00968839	0.00422995	0.0112771
n	0.128963	0.0211942	0.130668	0.672851	0.0192646	0.00313515	0.0109673	0.00358547	0.00937193
g	0.005146	0.0576032	0.0425608	0.883116	0.00391154	0.00126655	0.000866968	0.00283108	0.00269763
o	0.00261453	0.01383	0.231777	0.687882	0.0487479	0.00269686	0.0016108	0.00308807	0.00775274
m	0.00122873	0.00313637	0.145097	0.814518	0.028434	0.00365054	0.001141	0.000725148	0.00206967
b	0.0256735	0.0150423	0.259137	0.373724	0.263321	0.0243676	0.00449313	0.00272914	0.0315131
a	0.306071	0.0191655	0.204407	0.0549862	0.301911	0.0592428	0.00909126	0.00691425	0.0382112
w	0.0405766	0.0116452	0.200538	0.151979	0.307521	0.222868	0.0320661	0.00111155	0.0316941
ó	0.0475114	0.0048986	0.256869	0.137049	0.352617	0.0685801	0.0698401	0.00576235	0.0568713
l	0.0516866	0.00664647	0.110512	0.0648217	0.292743	0.272619	0.134188	0.00305851	0.0637257
á	0.0288102	0.0201666	0.0561584	0.0064985	0.0948147	0.302769	0.0634739	0.00563048	0.421678
a	0.0247075	0.00564813	0.12967	0.0154126	0.134446	0.191014	0.410916	0.0211758	0.0670108
l	0.0136756	0.0168238	0.0162171	0.00796648	0.151349	0.71896	0.0497906	0.00303244	0.0221843
e	0.00031395	0.000620222	0.00711128	0.000534823	0.0328484	0.903774	0.0180306	0.000503725	0.0362626
á	0.000642912	0.000534441	0.0512732	0.0120382	0.0996421	0.606703	0.063138	0.000713943	0.165315
m	0.00235117	0.000845267	0.015045	0.00920648	0.00707997	0.13042	0.700139	0.0617743	0.0731382
w	0.000296877	0.000275342	0.000407134	2.38659e-05	0.00633141	0.0293287	0.0132211	0.942711	0.00740416
á	5.21143e-05	1.92611e-05	6.36731e-05	1.22012e-05	0.00104404	0.001447	0.000517479	0.996535	0.000309447
n	0.000574887	7.22845e-05	0.000399931	3.97981e-05	0.00131579	0.0244969	0.0167613	0.930943	0.0253965
a	0.00261796	0.0036295	0.00545162	0.000845641	0.00888671	0.0190899	0.0358845	0.815785	0.107809
</S>	0.00668807	0.00095846	0.0156087	0.0146135	0.0305511	0.089745	0.113569	0.0325514	0.695715
