 	le	suivant	doit	fermer	la	maison	</S>
o	0.934318	0.0537356	0.00915481	0.000977511	0.00155684	0.000161544	9.59789e-05
n	0.065885	0.777662	0.121277	0.0258607	0.00209488	0.00289419	0.00432711
a	0.0328169	0.432656	0.190503	0.158025	0.0221541	0.162102	0.00174268
m	0.127961	0.422409	0.302703	0.0725029	0.0117687	0.0120782	0.0505782
i	0.558444	0.287645	0.0794552	0.0525592	0.00809772	0.00376256	0.010037
n	0.147839	0.285377	0.442467	0.0571897	0.00794798	0.00181806	0.0573608
i	0.131922	0.302977	0.238341	0.068887	0.0277944	0.0495367	0.180543
l	0.0518724	0.107517	0.5939	0.18156	0.0349517	0.00578	0.024419
á	0.0703795	0.052629	0.465322	0.149281	0.0290157	0.0147617	0.218611
a	0.320697	0.161811	0.110476	0.124184	0.13028	0.120213	0.0323394
k	0.00328447	0.0528834	0.127596	0.777952	0.0201826	0.0115755	0.00652624
a	0.000729062	0.00371248	0.316652	0.642055	0.00674425	0.00054089	0.0295665
n	0.00119654	0.00695331	0.33042	0.541382	0.0442671	0.00379772	0.0719836
g	0.012065	0.0134864	0.19287	0.49663	0.101815	0.0884424	0.0946907
á	0.0633446	0.0214732	0.179647	0.321237	0.14377	0.0929215	0.177607
n	0.00305207	0.00207076	0.0122145	0.029723	0.592405	0.342177	0.0183574
d	0.000642845	0.000729166	0.000407384	0.00327428	0.0413885	0.951113	0.00244487
é	0.000529368	0.000357054	0.000416294	0.00298154	0.0119762	0.975185	0.00855446
e	0.00105475	0.00127207	0.0167485	0.0705006	0.104141	0.65111	0.155173
</S>	0.00416417	0.00323318	0.0233467	0.0285547	0.184051	0.0427085	0.713942
