 	beaucoup	de	gens	aiment	manger	du	koko	</S>
b	0.397906	0.310731	0.254991	0.0268299	0.00177178	0.00736508	0.000311393	9.40604e-05
a	0.0993259	0.335435	0.52652	0.0171121	0.00289907	0.0155882	0.00206252	0.00105818
r	0.144397	0.541276	0.251809	0.0229942	0.0115309	0.00882941	0.00521258	0.0139503
e	0.275435	0.592338	0.0554303	0.00928335	0.0201229	0.00207513	0.00879316	0.0365225
a	0.409616	0.304024	0.209362	0.0298006	0.00770783	0.00730828	0.000602218	0.0315792
y	0.177363	0.277237	0.164682	0.233641	0.0623168	0.0385977	0.00818661	0.037976
í	0.228646	0.267156	0.0591421	0.225143	0.100994	0.0220165	0.00621562	0.0906879
í	0.104439	0.102624	0.137486	0.28773	0.0559835	0.0396411	0.00814615	0.26395
b	0.0640625	0.068966	0.0936182	0.518906	0.187344	0.032142	0.00351674	0.031445
á	0.0328529	0.061446	0.149638	0.483947	0.120409	0.106583	0.0122971	0.0328268
a	0.114947	0.0861647	0.281953	0.189748	0.0713659	0.0480465	0.0263314	0.181444
d	0.00655615	0.0118012	0.0169895	0.435663	0.424559	0.0706923	0.00877927	0.0249603
i	0.00426427	0.00695977	0.00687057	0.1905	0.608465	0.0263047	0.0648566	0.0917791
n	0.0071577	0.0163787	0.0270079	0.117369	0.521256	0.144554	0.0257495	0.140528
g	0.0140949	0.0441025	0.0212788	0.131226	0.367505	0.246964	0.028357	0.146472
á	0.0216458	0.0580184	0.0332694	0.114138	0.260557	0.242106	0.030755	0.239511
o	0.0068608	0.00720767	0.00739075	0.0382401	0.149334	0.578785	0.171422	0.040759
d	0.0051195	0.00958774	0.00828146	0.0361968	0.264751	0.227553	0.424623	0.0238871
z	0.00483778	0.00600857	0.00490538	0.0185214	0.321099	0.083602	0.411689	0.149338
á	0.00133911	0.00162647	0.000388949	0.00496236	0.356919	0.0121258	0.595411	0.0272271
á	0.00185823	0.00101588	0.00167037	0.00737727	0.0576512	0.124991	0.186135	0.619301
e	0.0333338	0.0258366	0.055297	0.0211902	0.0439218	0.184003	0.285632	0.350785
n	0.00411282	0.0149263	0.0179472	0.0521063	0.0750525	0.0878751	0.671654	0.0763261
d	0.0321692	0.0655012	0.0132588	0.025841	0.0860092	0.12219	0.346292	0.308738
z	0.0197711	0.0226713	0.00459528	0.014726	0.0575084	0.124097	0.424477	0.332154
ε	0.00139705	0.00427595	0.000503666	0.0038481	0.0536796	0.107969	0.465151	0.363176
</S>	0.00583903	0.0102219	0.00302706	0.0127186	0.0504352	0.191516	0.138449	0.587794
