 	votre	amitié	finira	mal	</S>
o	0.941057	0.0429421	0.006781	0.00881561	0.000404566
n	0.111187	0.87678	0.00429225	0.00363243	0.00410903
d	0.0694954	0.844088	0.0125813	0.00728065	0.0665541
u	0.0146898	0.959847	0.000711783	0.00076804	0.0239833
ú	0.0386413	0.902343	0.00940546	0.0195666	0.0300439
b	0.0109055	0.165442	0.174951	0.0523359	0.596366
á	0.405012	0.0463406	0.284686	0.0813262	0.182636
b	0.778262	0.0124517	0.140881	0.0253227	0.0430833
í	0.697257	0.0757359	0.150336	0.0340216	0.0426493
n	0.9111	0.0103671	0.0441944	0.0137277	0.0206112
í	0.258079	0.134758	0.0628621	0.0691924	0.475109
b	0.0705835	0.0602979	0.483486	0.292129	0.0935031
v	0.28233	0.0078213	0.281778	0.0832005	0.34487
ú	0.017653	0.0356383	0.191648	0.508564	0.246497
b	0.0110287	0.0238542	0.182155	0.610989	0.171973
ó	0.0756077	0.0189186	0.26439	0.239277	0.401806
o	0.0345231	0.00239238	0.300829	0.30941	0.352846
s	0.00740154	0.0458129	0.17523	0.376047	0.395508
ú	0.0016382	0.0468484	0.0448398	0.319529	0.587145
á	0.0105277	0.0110186	0.0915135	0.167227	0.719713
o	0.00332298	0.00634521	0.0198941	0.407237	0.563201
b	0.000783828	0.0840618	0.126163	0.487018	0.301973
é	0.000349634	0.0364541	0.555254	0.289314	0.118628
</S>	4.1296e-05	0.00340603	0.0805724	0.110337	0.805643
