 	la	banane	est	tombée	d'	elle-	même	</S>
i	0.571566	0.366039	0.0337116	0.00815925	0.0113508	0.0072846	0.00175305	0.000135385
t	0.0249991	0.920176	0.0197786	0.0135497	0.0103861	0.00426536	0.00443682	0.00240821
ω	0.00539201	0.983914	0.00243741	0.00254054	0.00284387	0.000178603	0.00110505	0.00158841
r	0.0196627	0.865355	0.0267566	0.0305138	0.0330143	0.00359043	0.0103777	0.0107295
ω	0.0704649	0.895035	0.0169945	0.0044928	0.00627665	0.000769053	0.00109873	0.00486828
í	0.0820541	0.0347249	0.794585	0.0649645	0.0165561	0.00118093	0.00135582	0.00457874
b	0.0222786	0.00187874	0.541689	0.201447	0.151303	0.0169437	0.00734341	0.0571168
v	0.00609879	0.00462738	0.0396583	0.424525	0.33088	0.0843367	0.0477034	0.0621701
e	0.00535274	0.000501834	0.0545663	0.5516	0.29368	0.0561319	0.0211893	0.0169787
d	0.0222158	0.000781232	0.144754	0.174027	0.177683	0.114918	0.0938224	0.271798
í	0.00635329	0.000498923	0.00373553	0.0267491	0.102292	0.129427	0.421838	0.309106
a	0.0127059	0.00114398	0.0860312	0.047805	0.0589951	0.117915	0.346469	0.328934
m	0.00117857	0.0024112	0.0112532	0.069428	0.26639	0.314407	0.289316	0.0456163
έ	0.00121961	0.00110682	0.0043766	0.00651151	0.0713173	0.587005	0.206507	0.121956
n	0.000220777	0.00017589	0.00123213	0.0144314	0.159111	0.536621	0.153734	0.134473
έ	0.00324613	0.000278619	0.00250005	0.00855989	0.0475339	0.277488	0.284167	0.376227
</S>	0.00483639	0.000273321	0.0185663	0.00933485	0.0367615	0.0841641	0.142998	0.703065
