 	avec	la	manière	dont	il	se	bat	pour	creuser	le	trou	il	n'	ira	pas	loin	</S>
e	0.415705	0.137761	0.076831	0.130363	0.109515	0.0834599	0.0136708	0.00926438	0.00680487	0.0055235	0.00248646	0.000971912	0.00145294	0.000401116	0.00340123	0.000171713	0.00221613
f	0.000566136	0.00100767	0.000733784	0.00301663	0.00251229	0.585664	0.377776	0.00689568	0.00686978	0.00568719	0.000586235	0.000355212	0.0018813	0.0011939	0.000827866	0.00325543	0.00117069
u	0.000935766	0.000787589	0.000745495	0.00120019	0.00149792	0.736288	0.212953	0.00357207	0.011587	0.00802286	0.00339315	0.00174701	0.00411084	0.00983714	0.000921103	0.00150142	0.000898935
n	0.000106606	0.000498598	0.0019416	0.00263668	0.005987	0.674471	0.163871	0.0245821	0.0252139	0.0279606	0.0112367	0.00419375	0.0102813	0.0296403	0.00257292	0.00356106	0.0112447
g	0.00228629	0.00343182	0.00441257	0.0050674	0.0438493	0.454985	0.123483	0.0652858	0.0724979	0.126707	0.0408369	0.0137197	0.0187303	0.00664233	0.00757113	0.00377995	0.00671291
u	0.0225551	0.0512958	0.0554113	0.0186148	0.129026	0.22505	0.130823	0.0748509	0.0257519	0.118776	0.038731	0.0189068	0.0163487	0.0156485	0.00598971	0.0102821	0.0419383
l	0.00532842	0.0201822	0.0503531	0.0778917	0.0154383	0.103416	0.063981	0.0332723	0.0251899	0.0168425	0.0234997	0.0431148	0.0446998	0.0280227	0.0148483	0.0213755	0.412544
ú	0.0578563	0.142203	0.0822539	0.212287	0.0529149	0.125698	0.0483771	0.0295173	0.0156691	0.0104824	0.010428	0.0185777	0.0262274	0.0126659	0.0056883	0.0130865	0.136066
y	0.0413195	0.143492	0.13827	0.452934	0.0735932	0.0652648	0.0222786	0.00788619	0.00530968	0.00242208	0.0021546	0.00577387	0.00606498	0.001985	0.00355555	0.00227338	0.0254226
é	0.165496	0.105501	0.117299	0.420422	0.0281884	0.0361438	0.0147178	0.0159287	0.00867746	0.00639471	0.00344599	0.00742371	0.00800171	0.00738018	0.00230087	0.0113888	0.0412897
é	0.17574	0.126239	0.0996056	0.312051	0.116795	0.099265	0.0191536	0.0102249	0.00521155	0.00439488	0.00268769	0.00563306	0.00433775	0.00290493	0.00183761	0.00356879	0.0103491
f	0.00206135	0.00213095	0.00183477	0.00431469	0.0125714	0.588006	0.311477	0.0398358	0.0144825	0.00626144	0.00119715	0.000884326	0.00217616	0.00349816	0.00152664	0.00383776	0.00390416
u	0.000258895	0.000474401	0.000446994	0.00135908	0.00486575	0.536932	0.388316	0.0296539	0.0161453	0.00561674	0.00190106	0.00155836	0.00200634	0.00131291	0.000741568	0.0021262	0.00628425
n	0.00123592	0.0029261	0.00662162	0.00652191	0.0211365	0.468993	0.256588	0.0807111	0.0327829	0.0235999	0.0052177	0.00299164	0.00523275	0.0115959	0.00332678	0.00780882	0.0627092
g	0.00462797	0.00794774	0.00890273	0.0181856	0.0746717	0.420748	0.190659	0.0930514	0.0647266	0.0239356	0.00717526	0.0100399	0.0129371	0.00815824	0.0107272	0.0073158	0.0361896
