 	j'	étais	la	seule	personne	à	attiser	ce	feu	</S>
o	0.522678	0.121735	0.0885239	0.0745867	0.03081	0.0417935	0.0651633	0.0306967	0.00266849	0.0213445
k	0.00315944	0.0331356	0.0044303	0.0106994	0.0217066	0.0549266	0.684355	0.0142531	0.0334671	0.139866
ú	0.00354506	0.110037	0.0267262	0.0262526	0.0264281	0.0594224	0.608115	0.023112	0.0442849	0.0720763
u	0.000107191	0.0234853	0.0045037	0.00798709	0.0319414	0.163486	0.666162	0.0269332	0.012258	0.0631355
m	0.0124607	0.0455046	0.0514902	0.11735	0.0911403	0.218049	0.193162	0.138952	0.0192834	0.112608
í	0.00290169	0.0439353	0.0281655	0.036269	0.0211195	0.114071	0.175384	0.0455725	0.410104	0.122477
á	0.00860647	0.0607902	0.0800303	0.0648565	0.0339731	0.0980195	0.0439341	0.0704771	0.461301	0.0780122
m	0.00839403	0.0489571	0.0997379	0.106641	0.148035	0.13095	0.052827	0.216824	0.0880518	0.0995822
í	9.31919e-05	0.0128986	0.00309592	0.00492644	0.00936347	0.0263352	0.035857	0.022076	0.857538	0.0278165
i	0.00338145	0.0114926	0.0249352	0.030681	0.0134836	0.0354769	0.0210479	0.0486249	0.788344	0.0225329
á	0.000328369	0.00781721	0.00445109	0.00549506	0.0173172	0.0491433	0.0295723	0.0744005	0.659388	0.152087
d	0.00255301	0.0186362	0.0104832	0.0155499	0.0370361	0.0591581	0.0181816	0.158668	0.381572	0.298162
z	0.00367121	0.0160543	0.00950674	0.00634466	0.0243436	0.0419808	0.00841395	0.0586296	0.251318	0.579737
e	0.00269156	0.0373855	0.0216864	0.0235532	0.136204	0.0627764	0.0269429	0.199117	0.265639	0.224004
n	0.00485574	0.0127564	0.04183	0.0212141	0.0353632	0.121869	0.0287091	0.371208	0.170666	0.191529
g	0.00126132	0.00477154	0.0132795	0.0125272	0.0350008	0.0913612	0.0316791	0.103891	0.259944	0.446284
á	0.00607562	0.008416	0.0283983	0.024501	0.0414861	0.0516552	0.00745059	0.0586505	0.147303	0.626063
o	0.000394955	0.00366385	0.00941077	0.0131202	0.0454997	0.107706	0.0120926	0.490102	0.0846863	0.233324
t	0.0003931	0.031925	0.00291531	0.00249395	0.0128014	0.0290349	0.0121771	0.310788	0.36831	0.229161
o	7.8189e-05	0.00570303	0.00329035	0.00351087	0.0157584	0.0462041	0.0383841	0.23644	0.0848737	0.565757
</S>	4.52879e-05	0.00166701	0.00163346	0.00178415	0.0182562	0.0573378	0.0349025	0.178908	0.0247245	0.680742
