 	comment	t'	appelles-tu	</S>
k	0.818594	0.172715	0.00607096	0.00262055
ó	0.791106	0.0710679	0.128314	0.00951222
m	0.21606	0.0108259	0.224411	0.548703
b	0.645135	0.0301966	0.170409	0.15426
ó	0.422925	0.157176	0.208367	0.211532
l	0.108853	0.0829586	0.30979	0.498398
á	0.163209	0.0755509	0.217628	0.543612
n	0.0464134	0.721183	0.169034	0.0633697
ω	0.0217512	0.820642	0.132013	0.0255939
n	0.031512	0.0667242	0.714265	0.187499
d	0.0764028	0.111957	0.51832	0.29332
a	0.0527889	0.071477	0.350394	0.52534
</S>	0.0540077	0.0277601	0.211328	0.706904
