 	le	voyageur	surveille	l'	heure	</S>
o	0.976233	0.020441	0.00134764	0.000619913	0.00128856	7.02901e-05
b	0.113547	0.854963	0.0246499	0.00090428	0.00435501	0.00158095
h	0.188459	0.770031	0.0146802	0.00117759	0.0237598	0.00189301
é	0.0535883	0.802465	0.067491	0.00544246	0.0672119	0.00380135
m	0.254824	0.634355	0.0600165	0.02852	0.00522244	0.0170621
b	0.110668	0.801473	0.0332097	0.00520703	0.00216	0.0472824
i	0.311384	0.567222	0.0260382	0.00724034	0.00862282	0.0794922
l	0.146026	0.0436525	0.683896	0.0983663	0.00263726	0.0254216
á	0.080647	0.00877916	0.296977	0.0916896	0.0130858	0.508821
a	0.477723	0.0211269	0.151802	0.299784	0.0126588	0.0369051
k	0.0238011	0.0534289	0.851817	0.0484616	0.0142539	0.00823777
y	0.00163063	0.00531605	0.830282	0.096766	0.0340426	0.031963
έ	0.0141643	0.0267213	0.875216	0.0281071	0.0372707	0.0185207
n	0.0023199	0.00130073	0.509389	0.240056	0.133922	0.113012
g	0.0338681	0.0122354	0.439045	0.310736	0.0989773	0.105138
í	0.0745475	0.0189125	0.089112	0.465857	0.176716	0.174855
s	0.00335589	0.000612247	0.0294951	0.37686	0.494035	0.0956426
ε	0.0141447	0.00430122	0.120753	0.387262	0.304386	0.169153
i	0.00283842	0.00276481	0.0398704	0.157373	0.488852	0.308301
k	0.00974587	0.00249818	0.0415513	0.109481	0.582486	0.254238
á	0.00274347	0.00174721	0.0400307	0.0083223	0.872396	0.0747602
n	0.0123241	0.00257545	0.11897	0.0948288	0.58758	0.183721
g	0.00233944	0.0033564	0.118593	0.0321232	0.576831	0.266757
a	0.00745923	0.000777992	0.0413164	0.072838	0.518786	0.358822
</S>	0.0179768	0.00787334	0.104955	0.14708	0.103372	0.618743
