 	le	lézard	à	gueule	rouge	vit	dans	la	plaine	</S>
y	0.957996	0.00822545	0.0215699	0.00401162	0.00574346	0.000906277	0.000736837	0.000762413	1.96274e-05	2.88181e-05
o	0.687184	0.287206	0.0218784	0.0010601	0.00206631	0.000144055	8.86282e-05	0.000279812	5.41606e-05	3.81587e-05
l	0.0171371	0.932181	0.0250257	0.00591165	0.0139791	0.00093394	6.28485e-05	4.07537e-05	0.00412018	0.000607358
i	0.0222826	0.517391	0.141052	0.0630555	0.175638	0.0327036	0.00354957	0.00164992	0.0235268	0.0191507
a	0.00512494	0.00326435	0.24113	0.323987	0.319446	0.0810404	0.0162361	0.00372946	0.000871636	0.00516995
d	0.0208122	0.00187751	0.0733347	0.154628	0.112543	0.19692	0.292457	0.118787	0.0122129	0.016428
i	0.00494445	0.00293844	0.0185115	0.0788956	0.0211534	0.0444981	0.660101	0.088262	0.0084017	0.0722939
í	0.00162295	0.00020899	0.019979	0.109232	0.0368134	0.117447	0.504813	0.175632	0.0144555	0.0197964
s	0.00119142	0.00046564	0.00265196	0.00366774	0.00387942	0.00452678	0.283491	0.548366	0.117632	0.0341274
ó	0.000695925	0.000549681	0.00814335	0.0245855	0.00988153	0.00815791	0.26403	0.192899	0.094699	0.396358
l	0.00106661	0.000154629	0.000677538	0.00121083	0.00093543	0.000474815	0.0033675	0.0433285	0.942701	0.0060831
ω	0.000472679	0.00166991	0.00438176	0.0138983	0.0061445	0.00721621	0.0760318	0.153747	0.681376	0.0550613
n	0.00157657	0.00145863	0.00955252	0.0193676	0.0106752	0.0187417	0.026463	0.0346289	0.854236	0.0232995
g	0.000818548	0.00674779	0.00670468	0.015026	0.00640762	0.00564975	0.0264199	0.0949062	0.796125	0.0411941
ώ	0.000614712	0.00127534	0.00252572	0.00580806	0.00441016	0.000470084	0.00893196	0.0668967	0.766536	0.142531
</S>	0.000258199	8.78191e-05	0.00391917	0.0201813	0.0049567	0.0082345	0.0590047	0.107903	0.12333	0.672125
