 	il	lui	a	donné	des	médicaments	</S>
w	0.838093	0.128081	0.0298816	0.00179812	0.00203439	3.79686e-05	7.43254e-05
a	0.634826	0.270248	0.0471187	0.0134451	0.0338535	0.00013772	0.000371075
á	0.0485513	0.44669	0.449243	0.0396896	0.0115305	0.000998767	0.00329734
p	0.0362931	0.193089	0.49246	0.129729	0.0496707	0.003907	0.094851
έ	0.00486396	0.039104	0.309552	0.46038	0.046452	0.0390944	0.100554
ε	0.0154102	0.0571493	0.209461	0.397259	0.133739	0.0136292	0.173352
w	0.0341451	0.126564	0.120829	0.076411	0.277806	0.269317	0.0949276
á	0.0943866	0.148917	0.233345	0.194388	0.0683228	0.237107	0.0235334
m	0.00589265	0.014885	0.0175479	0.0213364	0.0202156	0.885601	0.0345219
a	0.0112213	0.0298678	0.0268975	0.0801265	0.129685	0.559699	0.162502
l	0.00468272	0.0139714	0.0541881	0.113908	0.110946	0.200062	0.502242
é	0.0012214	0.00326857	0.0218604	0.0528421	0.115184	0.199154	0.606469
</S>	0.000657529	0.00352483	0.0296052	0.0450842	0.195591	0.142209	0.583329
