 	dans	leur	parcelle	il	y	a	un	chiot	dodu	</S>
s	0.482413	0.290956	0.0734184	0.036349	0.0430223	0.0446067	0.0176291	0.00701805	0.000688013	0.00390021
í	0.302307	0.247245	0.111782	0.0571667	0.034366	0.0491859	0.0657876	0.0966107	0.0189862	0.0165625
b	0.222453	0.573392	0.0916991	0.0237312	0.0244496	0.0127678	0.0125283	0.00775059	0.0266676	0.00456041
h	0.0683993	0.472078	0.0684622	0.0615983	0.0212428	0.0680408	0.0279088	0.180043	0.00592486	0.0263016
á	0.115754	0.270672	0.176336	0.0424456	0.0433281	0.0573817	0.0501474	0.159219	0.037561	0.0471552
n	0.261688	0.184839	0.246367	0.0994018	0.0374204	0.0434806	0.016697	0.0284578	0.00488752	0.0767606
g	0.222648	0.333444	0.0899751	0.04879	0.0376478	0.0190678	0.0128293	0.0398245	0.0286095	0.167164
á	0.0711249	0.375902	0.18738	0.0869574	0.0418986	0.0134032	0.0125891	0.027887	0.102219	0.0806388
l	0.266806	0.223804	0.197371	0.165139	0.0732497	0.0429162	0.0160478	0.00386802	0.00101791	0.00977875
á	0.0871571	0.129359	0.332806	0.143083	0.0693572	0.0250368	0.0192511	0.0111112	0.0118272	0.171012
b	0.169075	0.200323	0.148004	0.192925	0.111539	0.0695446	0.0354742	0.0258221	0.00976242	0.0375287
á	0.164243	0.313929	0.0697001	0.224235	0.0535282	0.0638898	0.0299986	0.0704939	0.00582222	0.00415952
a	0.0931496	0.244354	0.0347465	0.196822	0.0616891	0.16588	0.04384	0.112399	0.00332298	0.0437962
é	0.00719597	0.0110379	0.106441	0.383817	0.301939	0.120405	0.0423811	0.00869476	0.0010811	0.0170063
d	0.0582179	0.0272922	0.133473	0.266693	0.240856	0.158648	0.069504	0.0112893	0.00248689	0.0315397
í	0.0124302	0.00236247	0.0446466	0.0975483	0.25713	0.284566	0.155902	0.0205939	0.0164884	0.108333
l	0.0264951	0.00556234	0.0442188	0.0889738	0.287393	0.274746	0.17531	0.0158588	0.0209968	0.060445
a	0.0150245	0.00802059	0.0425013	0.0826179	0.23226	0.175272	0.136945	0.0254567	0.0483112	0.233591
m	0.00461834	0.00736202	0.0110242	0.0513298	0.20313	0.203272	0.249771	0.119405	0.0836866	0.0664007
w	0.00167039	0.0018727	0.0114198	0.0265974	0.0456481	0.309026	0.324056	0.232816	0.0228368	0.0240571
á	0.00143189	0.000322458	0.00168143	0.00939296	0.0254124	0.188228	0.128075	0.424849	0.179232	0.0413758
n	0.003339	0.00320194	0.00114187	0.00906219	0.0326285	0.264022	0.0897241	0.495699	0.0435406	0.0576402
a	0.0127396	0.00388698	0.021448	0.0504718	0.112024	0.234119	0.191388	0.209615	0.0462469	0.118061
y	0.00418519	0.00540793	0.0201543	0.0550474	0.23598	0.273654	0.301349	0.0582324	0.0153326	0.0306562
á	0.012926	0.00848951	0.046417	0.051789	0.170039	0.23276	0.275409	0.0568208	0.106099	0.0392512
m	0.00463526	0.00717403	0.00855471	0.0111154	0.0764593	0.169939	0.329421	0.127464	0.218455	0.0467824
b	0.000686481	0.00059641	0.00399672	0.00630072	0.0129781	0.119997	0.157115	0.570413	0.0702998	0.0576166
v	0.000221568	8.26462e-05	0.00106028	0.00306575	0.01573	0.10041	0.13066	0.498453	0.174419	0.0758968
á	0.000194146	0.000276227	0.000856351	0.0037665	0.00934568	0.0882834	0.069902	0.550324	0.190089	0.0869626
n	0.000386858	0.00183453	0.00480392	0.0100077	0.0453728	0.0966961	0.17725	0.28801	0.273791	0.101846
d	0.00400369	0.00540368	0.0118422	0.0193858	0.0589786	0.12512	0.199769	0.177294	0.2557	0.142503
é	0.00160895	0.00184473	0.00269508	0.00701807	0.0368206	0.0448895	0.0440797	0.0806971	0.597905	0.182441
b	0.00156181	0.00272477	0.00684963	0.0192923	0.108238	0.150241	0.18838	0.0958491	0.0891583	0.337705
