 	raconte-moi	comment	as-tu	fait	ton	mariage	</S>
m	0.509307	0.343763	0.0820104	0.0204924	0.0334879	0.00308814	0.00785154
ó	0.0864535	0.110681	0.266867	0.0577699	0.0606565	0.0133158	0.404257
y	0.380939	0.515642	0.0378936	0.0199989	0.00414669	0.0189977	0.0223824
é	0.595381	0.190938	0.0441773	0.0392308	0.0381663	0.0334181	0.0586886
m	0.597272	0.215578	0.040486	0.0140888	0.0352539	0.0153968	0.0819245
b	0.218322	0.563051	0.0929895	0.0219029	0.00133936	0.0119805	0.0904149
á	0.14323	0.522805	0.0735535	0.0535601	0.0060437	0.0195961	0.181212
n	0.150751	0.292282	0.394114	0.0600506	0.0216912	0.0333138	0.0477969
g	0.257554	0.229177	0.271068	0.0470605	0.102263	0.00928905	0.0835873
á	0.165883	0.184965	0.294236	0.042155	0.184602	0.0120344	0.116124
n	0.0345759	0.044315	0.372586	0.167677	0.248279	0.0709335	0.0616336
d	0.0970678	0.0521214	0.364548	0.063416	0.304404	0.00727202	0.111171
é	0.0401287	0.0472071	0.189937	0.114053	0.3371	0.0503259	0.221248
n	0.0645062	0.0890923	0.18419	0.0850705	0.311767	0.0875741	0.177799
g	0.0161242	0.0212771	0.104496	0.279208	0.191837	0.181923	0.205136
é	0.087275	0.143611	0.222256	0.0352027	0.333423	0.0585177	0.119715
y	0.0305139	0.0367811	0.311976	0.133701	0.179079	0.160814	0.147135
é	0.171653	0.0798645	0.190364	0.139849	0.0854474	0.287082	0.0457404
é	0.0449866	0.0234802	0.175422	0.145179	0.233357	0.258689	0.118887
k	0.0225076	0.00892307	0.0247203	0.257024	0.271163	0.172141	0.243521
y	0.00251048	0.00505057	0.00898146	0.520125	0.0956156	0.165403	0.202314
e	0.0167822	0.00798316	0.00956091	0.393875	0.111472	0.185534	0.274792
n	0.00711737	0.00364581	0.022142	0.143339	0.244946	0.299971	0.278839
ώ	0.0116732	0.0106127	0.0265656	0.0683392	0.345306	0.235969	0.301534
i	0.00310068	0.00355591	0.0224591	0.0563478	0.25234	0.204508	0.457688
t	0.0294607	0.0113947	0.0134202	0.0758337	0.09226	0.280505	0.497126
ώ	0.00653936	0.00876722	0.0103059	0.109435	0.0609715	0.571456	0.232525
ω	0.000828067	0.0011936	0.00617648	0.0331256	0.111067	0.3789	0.468709
</S>	0.0167462	0.0113445	0.0244449	0.0725683	0.216546	0.250232	0.408118
