 	la	plante	komokomo	a	beaucoup	poussé	dans	la	parcelle	</S>
a	0.460284	0.463098	0.0584015	0.00699487	0.00337068	0.00192602	0.00304519	0.00246631	0.000300073	0.000114052
k	0.146092	0.800759	0.0425383	0.00230003	0.00158844	0.0028725	0.00156289	0.00127462	0.000809231	0.0002037
ω	0.0900529	0.478278	0.410138	0.00525268	0.00142617	0.00321342	0.000545218	0.00160493	0.0057191	0.00376931
m	0.062696	0.631717	0.215889	0.0220115	0.00797579	0.0374386	0.00266825	0.00480856	0.00660359	0.00819113
ώ	0.151492	0.143408	0.386231	0.168169	0.0401921	0.00915805	0.0114427	0.0104784	0.00696749	0.0724619
k	0.228673	0.0907336	0.248569	0.243984	0.109576	0.0111113	0.0145717	0.00727633	0.00210226	0.0434027
ω	0.0610316	0.0288887	0.780554	0.0661208	0.019327	0.0264385	0.00290572	0.00310853	0.00278053	0.00884481
m	0.0354344	0.144579	0.610955	0.110496	0.0427025	0.0338491	0.00456067	0.00669079	0.00286922	0.0078631
ω	0.0925088	0.0362579	0.460621	0.248488	0.0555534	0.00975486	0.0112648	0.027055	0.00712441	0.0513722
á	0.089585	0.0111595	0.0908048	0.371472	0.26793	0.0731629	0.0334899	0.0177645	0.00519495	0.039437
m	0.0112029	0.00455821	0.026333	0.161726	0.251021	0.364118	0.111036	0.0293262	0.00607719	0.0346016
i	0.0149888	0.00290282	0.0158311	0.247935	0.442734	0.0513608	0.104026	0.0450533	0.00463903	0.070528
l	0.00579922	0.00230093	0.0230313	0.0905999	0.15266	0.621637	0.0680146	0.0195564	0.00356615	0.0128342
o	0.00519874	0.00329489	0.0146294	0.0531536	0.134828	0.625486	0.106169	0.0183971	0.00985482	0.0289881
n	0.0178183	0.00328435	0.00892867	0.0901166	0.125524	0.579212	0.0892517	0.0234424	0.03104	0.0313821
d	0.00907168	0.00282807	0.0202793	0.112456	0.127334	0.529629	0.107026	0.042259	0.0158757	0.0332417
á	0.0241623	0.016401	0.0509579	0.184459	0.149699	0.216118	0.0749113	0.0434545	0.0491155	0.190721
o	0.00401819	0.00238523	0.00460668	0.0615903	0.10056	0.06084	0.319171	0.291425	0.122913	0.0324906
t	0.00337444	0.0023746	0.00458757	0.0109258	0.0294322	0.092805	0.193455	0.174363	0.456543	0.0321397
ω	0.000855365	0.00266136	0.0129931	0.0260375	0.066497	0.283395	0.0655159	0.0999713	0.335239	0.106835
ώ	0.000339324	0.00111335	0.0324012	0.0313158	0.0435915	0.283895	0.0693823	0.135981	0.305443	0.0965377
s	0.00224803	0.000928015	0.00244363	0.0147835	0.029948	0.0217732	0.16994	0.29377	0.283713	0.180452
é	0.00354769	0.00090432	0.00744896	0.0165125	0.0435417	0.0464625	0.098698	0.151336	0.364822	0.266726
f	0.0083193	0.00150475	0.00102256	0.0063203	0.00829529	0.0020953	0.0204315	0.0668556	0.723512	0.161644
u	0.00890997	0.00334384	0.00528586	0.00526289	0.00796131	0.00701837	0.0161799	0.0911622	0.798219	0.0566567
n	0.000608127	0.000170797	0.000115741	0.000735299	0.00166401	0.00153706	0.0168996	0.0369987	0.822016	0.119254
d	0.000410034	0.000237558	0.000881049	0.00660896	0.0133315	0.0117351	0.0535945	0.133392	0.67991	0.0998993
u	0.000488634	0.000173003	0.000577155	0.00427844	0.00873892	0.00833268	0.0483963	0.138354	0.665094	0.125567
</S>	0.0072239	0.00306087	0.00320246	0.0159713	0.0244424	0.0156755	0.0564068	0.213924	0.254057	0.406036
