 	a	l'	école	il	s'	est	avéré	un	bon	élève	</S>
m	0.400843	0.18069	0.275646	0.0903092	0.0199291	0.00810881	0.0012512	0.00432524	0.016983	0.00150059	0.000414255
ó	0.324315	0.117251	0.0590822	0.1176	0.209654	0.057782	0.00115806	0.0204529	0.0240075	0.0061609	0.0625363
l	0.350642	0.319142	0.140769	0.122997	0.0503768	0.00636538	0.000864442	0.00193088	0.000932641	0.00340254	0.0025761
ε	0.216086	0.340619	0.203974	0.0649037	0.0462866	0.0227486	0.00235548	0.0133831	0.0018303	0.00963406	0.0781788
k	0.129335	0.194449	0.330685	0.131454	0.0907027	0.0256495	0.00151614	0.0208491	0.00230409	0.00997194	0.0630836
ώ	0.0249196	0.129026	0.488502	0.113065	0.0768774	0.0311818	0.0654402	0.0177852	0.00823895	0.0056827	0.0392805
ώ	0.0122167	0.0716072	0.560178	0.177457	0.0592329	0.0235962	0.0296752	0.00840276	0.0123055	0.0263582	0.0189711
l	0.064246	0.023454	0.099003	0.233808	0.222917	0.269296	0.0214053	0.0169516	0.00793303	0.00260655	0.0383795
i	0.0573249	0.036907	0.142532	0.157442	0.171623	0.175953	0.0193425	0.0441223	0.00743974	0.00692401	0.180389
w	0.0392535	0.0228236	0.117484	0.271278	0.223112	0.248492	0.0206667	0.0169862	0.00507072	0.00505476	0.0297783
a	0.019449	0.0230203	0.134751	0.30203	0.24286	0.122518	0.0778021	0.038622	0.0128536	0.00469472	0.0213991
á	0.0059055	0.00495764	0.0890204	0.205019	0.16546	0.373116	0.0779941	0.0354133	0.015574	0.0043108	0.0232288
t	0.00389345	0.0072606	0.0107443	0.00921106	0.0399579	0.262529	0.490353	0.084286	0.0284001	0.0390033	0.0243606
á	0.00033212	0.00245371	0.00855806	0.011315	0.0315271	0.0974448	0.739156	0.0676949	0.0185276	0.0129096	0.0100815
á	0.00129738	0.001764	0.00886762	0.00850937	0.0144364	0.0513703	0.768877	0.0528497	0.0182986	0.0143001	0.0594296
m	0.0107577	0.0047111	0.0179162	0.0499434	0.047063	0.137513	0.165648	0.270509	0.168889	0.0802372	0.0468127
á	0.0153591	0.00841799	0.00420774	0.0330116	0.113039	0.175883	0.056086	0.220974	0.051171	0.00770643	0.314145
o	0.0119794	0.00778192	0.0164575	0.0266913	0.0298294	0.0429792	0.121991	0.241441	0.232937	0.197552	0.0703602
y	0.0036463	0.00549112	0.00196449	0.00103674	0.00338692	0.00842261	0.196973	0.208464	0.178694	0.351549	0.0403718
é	0.00235497	0.0204006	0.00338188	0.00287962	0.0162976	0.0138264	0.124015	0.299879	0.195134	0.238573	0.0832568
i	0.000735494	0.00217773	0.00176366	0.0017817	0.00707133	0.0121311	0.0740336	0.328508	0.10369	0.053356	0.414752
ω	0.000596453	0.000988771	0.00293209	0.00198809	0.00535307	0.0200658	0.0231159	0.291106	0.319157	0.114438	0.22026
b	0.00191029	0.00336354	0.00250092	0.000651464	0.00224706	0.00811053	0.0102724	0.128475	0.32715	0.369566	0.145751
v	0.00150923	0.0060951	0.00276332	0.0014514	0.00562956	0.0124905	0.00603206	0.0606396	0.646699	0.227483	0.0292074
έ	0.00554918	0.00316382	0.00321216	0.0018339	0.00778588	0.0126916	0.028729	0.0581849	0.629261	0.22742	0.0221686
</S>	0.000423745	0.000530534	0.000614759	0.0002267	0.000649459	0.00130605	0.00639713	0.0750953	0.0572441	0.0170491	0.840463
