 	cette	femme	a	aidé	ma	femme	à	accoucher	</S>
o	0.702265	0.148402	0.0718651	0.0425998	0.019582	0.00146059	0.0131916	0.000303699	0.000330821
y	0.0281645	0.958153	0.00596461	0.00511911	0.000198677	0.000672756	0.000182526	0.000379544	0.00116515
ú	0.781795	0.206039	0.00191312	0.00686849	0.0015708	0.000565289	0.000364078	0.00064418	0.000240333
r	0.981442	0.00784747	0.000548094	0.00301883	0.00366123	0.000572812	0.000542582	0.000631834	0.00173523
u	0.875059	0.067345	0.0142345	0.0169079	0.00607035	0.00182121	0.00214246	0.00154653	0.0148735
w	0.483176	0.0631466	0.246535	0.0186636	0.0505646	0.0247352	0.0435751	0.0124025	0.0572018
o	0.293329	0.00786066	0.295325	0.0860369	0.0554379	0.0196783	0.0427347	0.0200276	0.17957
á	0.0588205	0.00229825	0.796046	0.0724849	0.00445948	0.00311522	0.0100614	0.00241472	0.0502998
b	0.00288641	0.00209335	0.414037	0.451631	0.00843	0.0104854	0.0199673	0.00878608	0.0816833
ó	0.00755117	0.000952972	0.243991	0.652511	0.00371714	0.00771561	0.0315479	0.0125335	0.0394796
r	0.0598243	0.00017286	0.119685	0.7585	0.00541263	0.00138107	0.0126788	0.00213433	0.0402109
i	0.0554249	0.000456509	0.177149	0.680674	0.0265531	0.00676555	0.0118545	0.00294609	0.0381762
s	0.0527159	0.000351418	0.165436	0.182473	0.462736	0.0289095	0.0883886	0.0109224	0.00806744
i	0.101134	0.000143411	0.0126266	0.766679	0.0719192	0.00765166	0.00765336	0.027585	0.00460746
m	0.0713582	0.000176948	0.0632238	0.0840821	0.603626	0.0674971	0.0685582	0.0320703	0.0094074
w	0.0110018	0.000468568	0.0114625	0.0536721	0.310422	0.502673	0.027345	0.0213706	0.0615847
á	0.0102295	0.00348682	0.00363678	0.0517829	0.065452	0.828242	0.00227833	0.0317077	0.00318415
s	0.253248	0.000275773	0.011462	0.00757932	0.548998	0.11251	0.0383639	0.0111415	0.0164208
í	0.0783283	0.00179765	0.0374377	0.128029	0.122875	0.111795	0.0121931	0.107368	0.400176
y	0.0208006	4.13444e-05	0.0718239	0.0384852	0.246334	0.213112	0.336352	0.040517	0.032534
a	0.0260638	0.000486969	0.029868	0.179545	0.126852	0.25944	0.128382	0.177004	0.0723584
n	0.0183217	7.68252e-05	0.00866078	0.0347415	0.134542	0.183515	0.314008	0.197488	0.108646
g	0.0112156	0.000292287	0.00172428	0.00375045	0.110664	0.0945547	0.0433912	0.699437	0.0349709
á	0.000618062	0.000138791	0.00206293	0.00827572	0.0667564	0.0531755	0.0423363	0.691062	0.135574
</S>	0.00126362	6.56568e-06	0.00496	0.00364044	0.0267661	0.079866	0.279203	0.129964	0.47433
