 	okola	attrape	beaucoup	d'	oiseaux	avec	le	gluau	</S>
o	0.904814	0.00965486	0.0267178	0.0185152	0.0199149	0.0136626	0.00524982	0.000589427	0.000881914
k	0.978822	0.0191194	0.00064537	0.00017856	0.000270855	0.000106768	0.00011164	0.000181273	0.000563984
o	0.979468	0.0160138	0.000351561	0.000180463	0.00035076	0.000539784	0.000229359	0.00102387	0.00184245
l	0.978938	0.0100058	0.00122442	0.000374232	0.00103033	0.00127506	0.00101531	0.00246824	0.00366856
á	0.972216	0.0150859	0.00357091	0.000889674	0.00119479	0.00158752	0.000631821	0.00051337	0.00430973
l	0.331966	0.107659	0.374625	0.0347428	0.0178779	0.0342741	0.061246	0.00363458	0.0339751
á	0.00619367	0.16492	0.16821	0.039698	0.00994008	0.0371338	0.0431323	0.00575304	0.525019
a	0.0095933	0.14372	0.501859	0.0868668	0.102616	0.0825973	0.0398944	0.0011174	0.0317356
p	0.0135175	0.772918	0.137752	0.0252713	0.0171197	0.00358082	0.00564343	0.0108824	0.013315
i	0.00191174	0.918405	0.0401333	0.0123726	0.00156055	0.00376932	0.00296818	0.00786874	0.0110102
á	0.00678593	0.816502	0.0797769	0.0288641	0.00689147	0.0136437	0.00623692	0.0214462	0.0198524
a	0.00072652	0.0135715	0.425501	0.203046	0.227359	0.0711041	0.0360375	0.00599912	0.0166549
n	0.00106239	0.0138049	0.198824	0.349763	0.274757	0.0745339	0.0589099	0.0147233	0.0136216
y	6.07951e-05	0.000200724	0.0633788	0.0272686	0.877273	0.0175352	0.0087146	0.000189885	0.00537831
ω	1.121e-05	4.95323e-05	0.00946706	0.0141732	0.964823	0.00840777	0.00169723	0.000234655	0.00113644
s	9.53722e-05	9.74521e-05	0.0183904	0.0151235	0.932397	0.0135494	0.00463656	0.00378546	0.0119248
í	0.000400852	0.00622031	0.210304	0.250681	0.121122	0.12412	0.0518019	0.0176579	0.217691
a	0.000192232	0.00141285	0.150802	0.164852	0.0382762	0.280103	0.312816	0.0271962	0.0243496
y	0.00135976	0.00722801	0.0767065	0.0857136	0.0211484	0.156762	0.439762	0.179166	0.0321545
í	0.000221079	0.00229536	0.0491008	0.0991948	0.0134769	0.0363637	0.308007	0.2504	0.24094
í	2.91262e-05	0.000495583	0.0189437	0.0347602	0.00738748	0.0646394	0.161027	0.402338	0.31038
m	0.00010311	0.000652705	0.0125809	0.0292079	0.00678466	0.0543164	0.380375	0.341452	0.174527
é	0.000426651	0.00111584	0.0184925	0.102906	0.00981106	0.0397196	0.48516	0.0772214	0.265146
t	0.000376109	0.00392107	0.0257722	0.0399928	0.00759745	0.065297	0.232033	0.447228	0.177782
á	0.00021358	0.00278265	0.00166493	0.00617218	0.00135635	0.00669255	0.0378241	0.869804	0.0734898
í	0.000200892	0.00977049	0.00146908	0.00453057	0.000779248	0.00446836	0.0137673	0.850616	0.114398
</S>	0.000219345	0.0055826	0.015336	0.0198252	0.00436909	0.0381866	0.111687	0.434809	0.369986
